9294053
/m/0283fj2
/m/0283fj2
Beatrix Potter
1906
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
a 11
about 3
afraid 1
all 1
an 1
and 14
at 4
atop 1
ball 1
because 1
before 1
behind 1
bellpull 1
bowtie 1
bumps 1
but 2
by 1
called 1
close 1
comes 2
creeps 1
cupboard 5
curiosity 1
dances 1
darts 1
depicts 1
down 1
duster 6
empty 1
escaped 1
fire 1
following 1
forgot 1
from 1
fun 1
green 1
hard 1
has 3
hassock 1
he 3
head 3
heard 1
her 8
him 2
holds 1
hole 3
ill 1
illustration 3
in 7
is 5
it 1
jacket 1
jig 1
jumps 1
kitten 3
last 1
lies 1
like 1
looks 2
making 1
miss 11
misses 1
moppet 11
moppetmiss 1
mouse 12
nearer 1
nice 1
nose 1
not 2
of 6
on 3
one 1
opened 1
opens 1
out 2
paws 2
peeks 2
peeping 1
pink 1
piqued 1
pussy 1
reach 1
reader 1
red 1
rubs 1
rump 1
safely 1
scurries 1
seated 1
she 6
sits 1
sliding 1
snags 1
staring 1
tail 1
tale 1
tease 1
teased 1
that 1
the 30
then 1
thinks 4
this 1
through 1
ties 2
to 1
top 1
tosses 1
up 1
upright 1
very 3
watches 1
wearing 1
which 1
wideeyed 1
will 1
with 1
worse 2
