2381146
/m/077xnw
/m/077xnw
Nnedi Okorafor-Mbachu
2005
{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature"}
a 3
afraid 1
alone 1
always 1
and 4
are 2
at 1
begins 1
best 2
born 2
but 1
chance 1
children 2
clear 1
closer 2
clothes 1
computer 1
dada 1
dadalocks 1
danger 1
dari 2
deep 1
definitely 1
determine 1
different 2
edging 1
even 1
face 1
fear 1
fears 1
feels 1
flora 1
forbidden 1
fortunes 1
friend 2
friends 1
girl 2
greeny 1
grows 1
happeningsomething 1
has 1
have 1
her 7
in 3
including 1
investigate 1
is 2
isnt 1
jungle 1
kingdom 1
kirki 1
life 2
like 1
makes 2
mirrors 1
monkeys 1
must 1
normal 1
northern 1
not 1
novel 1
of 4
offer 1
one 1
only 2
onto 1
ooni 1
other 1
own 1
plants 1
powers 1
rumored 1
runs 1
saving 1
seem 1
sewn 1
she 1
something 1
special 1
stands 1
stays 1
teenage 1
tell 1
telling 1
that 2
the 8
they 1
thing 1
things 1
thirteenyearold 1
this 1
threatened 1
to 3
tsami 1
two 1
unknown 1
unlike 1
unusual 1
very 1
village 1
was 1
what 1
when 2
who 1
wisdom 1
with 1
worst 1
zahrah 4
