9360586
/m/0285wrk
/m/0285wrk
Jerry Spinelli

{"/m/03mfnf": "Young adult literature", "/m/0hwxm": "Historical novel"}
a 32
about 1
acquires 1
act 1
adopts 1
advising 1
after 3
all 3
almost 1
along 1
also 1
although 1
america 1
an 1
and 31
animals 1
appears 3
are 7
armband 1
as 7
attention 1
awakens 1
away 6
back 2
background 1
bag 1
band 1
barn 1
be 4
because 1
become 1
been 1
before 1
begins 1
behind 1
being 3
beloved 1
birthday 3
blows 1
bombs 1
born 1
boxcar 1
boys 1
bricks 1
brothers 1
buffo 1
burn 1
but 2
by 4
cake 2
cakes 1
calls 1
candles 1
capture 1
captured 1
carefree 1
catch 1
changes 1
character 1
children 1
city 1
clear 1
cleared 1
closet 1
club 1
coming 2
conditions 3
confusion 1
control 1
convince 1
create 1
crowd 2
curfew 2
d 1
dashes 1
daughter 1
day 2
days 1
decides 2
deportations 1
describes 3
deserted 1
desperation 1
digs 1
do 1
down 1
during 1
earlobe 1
early 1
electricity 1
ends 3
enjoys 1
established 1
eventually 2
except 1
expeditions 1
fabricated 1
fact 1
false 1
family 3
farm 1
farmer 1
farmers 1
father 2
fellow 1
fill 1
find 3
finds 1
first 1
five 2
following 2
food 1
for 7
fortune 1
friend 1
from 3
gang 1
garden 1
german 1
getting 1
ghetto 7
girl 2
go 2
goes 1
going 1
gone 2
grandfather 1
gratefully 1
greta 1
ground 1
guardian 1
gypsy 1
had 2
harshly 1
has 2
hateful 1
he 18
her 9
him 9
himmler 3
his 12
hit 1
hole 2
home 1
houses 1
identity 1
if 1
ignore 1
ii 1
in 19
including 2
instead 2
into 4
introduced 1
invaders 1
invites 1
is 16
it 3
jack 4
jackboot 6
jackbooteach 1
jackboots 4
janina 14
janinas 1
jewish 3
jews 4
katherine 2
kicked 1
kicks 1
killed 1
killing 1
knocked 1
knowing 2
large 1
last 1
later 2
leave 2
leaves 1
leaving 1
listen 1
little 2
lived 1
lives 1
living 2
long 1
longer 1
loses 1
losing 1
loss 1
low 1
magnificent 1
main 1
make 1
man 4
many 1
mare 1
market 1
marries 1
meets 3
milgrom 1
milkweed 2
mimic 1
misha 26
mishas 2
mishawho 1
months 1
most 1
mother 1
moved 1
moving 1
mr 1
multiple 1
n 1
name 1
named 2
names 1
near 1
need 1
new 2
news 1
next 1
night 3
no 2
nobody 1
not 1
noted 1
nothing 1
novel 1
of 17
old 2
on 3
once 1
one 3
orphan 1
out 7
over 1
own 2
panics 1
parade 1
part 1
party 1
pass 1
passes 2
past 3
people 7
peter 1
plant 1
plants 1
plotis 1
poland 4
polish 1
poppynoodle 1
pregnant 1
prominent 1
prosecuted 1
reassures 1
refuses 1
remainder 1
removes 1
resettlement 1
return 1
reveals 1
rides 1
room 1
rubble 1
run 1
running 1
runs 3
russia 1
saw 1
sees 1
separate 1
set 1
seven 1
seventh 1
she 4
shepsel 1
shoots 1
shortly 1
shot 1
sidewalk 1
sieruta 1
sight 1
since 1
sisters 1
sleeping 1
slipping 1
so 1
some 2
speckled 1
state 1
states 2
station 2
stawki 1
stay 1
stays 1
steal 1
stealing 3
steals 1
still 1
stops 1
stories 1
story 1
street 2
streets 1
stupid 1
supplies 1
surround 1
taken 2
takes 3
talented 1
talks 1
tell 1
teller 1
tells 1
that 13
the 40
their 3
there 3
they 4
thief 1
thieves 1
thinking 1
thinks 2
this 2
though 1
three 1
through 2
throughout 1
thrown 1
tightening 1
time 5
to 28
tracks 1
train 2
trains 1
tries 2
try 1
trying 1
two 1
ugly 1
uncle 1
unresponsive 1
until 1
up 5
uri 8
vivian 1
void 1
walking 1
wall 2
wants 3
war 1
warns 1
warsaw 5
was 2
way 2
we 1
wendy 1
were 1
what 2
when 5
where 6
which 1
while 1
who 9
wide 1
wildly 1
will 2
winds 1
with 8
without 2
witnesses 1
woman 1
working 2
world 1
worsen 2
yard 1
years 3
