2245815
/m/06ywy4
/m/06ywy4
Henrik Ibsen


15 2
a 9
aasta 1
actress 3
actually 1
addresses 1
affair 2
affairs 1
after 1
ago 2
all 1
almost 1
ambitious 1
america 1
american 1
an 4
and 15
another 1
any 2
as 2
at 2
attack 1
avoid 1
away 3
back 6
backing 1
bankrupt 1
be 2
because 2
been 3
bernick 14
blame 1
board 2
brink 1
brother 1
brought 1
built 1
business 2
businessman 1
but 2
buying 1
by 4
case 1
caught 1
certain 2
chance 1
charity 1
city 1
clear 1
coastal 1
come 1
comes 2
community 1
conclusion 1
connect 1
conscience 1
contribution 1
could 1
crew 1
current 1
danger 1
dangerously 1
daughter 1
day 1
death 3
demands 1
die 1
dina 3
disastrously 1
discovers 1
do 1
dominant 1
dorf 1
even 1
ever 1
explode 1
explodes 1
falls 1
family 3
fertile 1
finish 1
firm 2
for 7
foreman 2
free 1
from 5
future 1
get 1
gets 3
girl 5
give 1
go 1
gone 1
greater 1
greets 1
had 3
halfsister 1
hansteen 1
has 3
have 2
having 2
he 15
heading 2
helped 1
her 2
him 2
his 15
honour 1
hope 1
household 1
ibsen 2
if 1
in 9
indian 3
indication 1
interests 1
involved 1
is 10
it 5
its 1
johan 1
karsten 1
leaving 1
left 2
like 1
line 1
lined 1
lives 1
lona 1
longestablished 1
love 1
loved 2
main 1
marriage 1
married 2
marry 1
means 1
mess 1
mixture 1
modelled 1
money 4
most 2
mother 1
nearly 1
needs 1
news 1
next 1
night 1
no 1
none 1
norway 1
not 1
now 3
of 10
off 2
on 5
once 1
one 2
only 2
open 1
orders 1
out 3
past 1
people 1
planning 1
plot 1
project 1
pulls 1
railway 1
ran 1
rebuild 1
refusal 1
refuses 1
rejected 1
repairing 1
rows 1
rumours 1
run 1
runs 1
safe 1
safely 1
said 1
says 1
scandal 2
sea 1
secretly 1
seemingly 1
sees 1
sending 1
set 1
ship 3
shipbuilding 1
shipping 1
sign 1
since 2
small 1
so 1
son 2
spark 1
stop 1
stows 1
studious 1
suddenly 2
take 2
tell 1
tells 1
that 7
the 40
their 1
them 1
then 1
there 2
things 1
this 2
thought 1
time 2
tnnesen 7
to 20
town 7
tragic 1
true 1
truth 3
unseaworthy 1
up 4
urge 1
us 1
valley 1
wants 1
was 7
way 1
when 1
which 4
who 5
whom 1
wickedness 1
wife 3
will 4
with 9
word 1
work 2
wrong 1
yard 3
years 3
yet 1
young 2
younger 1
