13907534
/m/03cmx67
/m/03cmx67
Raymond Abrashkin

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature"}
a 1
also 1
are 1
book 1
bullfinch 1
carl 1
coming 1
contact 2
created 1
danny 1
described 1
determine 1
dish 1
earth 1
extraterrestrials 1
figure 1
for 1
from 1
government 1
has 1
he 2
hears 1
his 1
how 1
if 1
in 2
into 1
is 1
later 1
life 1
must 1
nonrandom 1
novel 1
observatory 2
out 1
professor 1
project 1
radio 1
real 1
sagan 1
seti 1
similar 1
sneaks 1
sounds 2
space 1
telescope 1
the 6
then 1
to 4
translate 1
try 1
trying 1
use 1
when 1
which 2
will 1
would 1
