2018587
/m/06fgrk
/m/06fgrk
Robin Jarvis
1997
{"/m/01hmnh": "Fantasy"}
a 6
acorn 1
against 1
alison 2
all 1
almanack 4
also 2
and 12
are 1
arrive 1
arthur 1
as 2
ask 1
at 1
audrey 5
bats 1
be 1
bears 1
because 3
begin 1
black 1
brightkin 1
brown 1
but 1
by 2
chamber 1
crystal 1
date 1
days 1
death 1
deptford 1
down 1
driven 1
during 1
elaborate 1
encounters 1
end 1
ends 1
enough 1
entries 1
event 1
every 1
falls 1
father 1
fault 1
fennywolde 2
field 1
finally 1
folk 1
for 2
from 1
gervase 3
give 1
given 1
god 1
great 2
greenwich 2
grey 2
he 1
heavy 1
her 4
his 1
hobb 1
holeborn 1
imprisoned 1
in 9
into 1
is 4
it 2
jealous 1
jenkin 1
know 1
longer 1
lore 1
loss 1
love 1
mad 1
main 1
major 1
many 1
merely 1
mice 2
modequai 1
morella 2
mouse 2
much 2
nettle 1
new 1
not 2
note 1
novel 1
novels 1
oak 1
oaken 1
of 13
office 1
ominous 1
on 1
opening 1
oust 1
park 2
plot 1
possibility 1
presented 1
prison 1
rat 1
rats 1
recorded 1
red 1
reign 1
resemblance 1
scuttle 2
sedge 2
seemingly 1
she 4
silver 1
solemnly 1
squirrel 2
squirrels 4
starwife 3
stay 1
stories 1
storm 1
strangely 1
takes 1
tell 1
tenth 1
that 2
the 26
their 1
then 1
there 1
they 2
this 1
though 1
throne 1
throughout 1
title 1
to 6
traditions 1
travels 1
twit 1
up 1
warns 1
was 3
were 1
when 1
which 1
while 1
whisper 1
who 1
will 2
william 1
winds 1
writes 1
written 1
year 3
ysabelle 1
