33056604
/m/0h54vhk
/m/0h54vhk
Tucker Max

a 2
abuser 1
almost 1
and 2
are 2
as 1
aslocation 1
at 1
awesome 1
bachelor 1
bad 1
banned 1
cancun 2
complete 1
cross 1
deadliest 1
drugs 1
duke 1
enrolled 1
ensues 3
exgirlfriend 1
experienced 1
fallout 1
fat 1
fight 1
following 1
friend 1
fulltime 1
girls 1
halloween 1
hate 1
hilarity 3
in 4
included 1
is 1
knee 1
law 2
living 1
location 2
max 3
mean 1
meet 1
miss 1
mmmkay 1
my 1
now 1
opens 1
parties 1
ruins 1
school 2
sexting 2
still 1
stories 4
story 1
student 1
tasting 1
that 1
the 8
threesome 1
trunk 1
tucker 6
vacation 1
vermont 1
weddings 1
while 1
why 1
wine 1
with 3
working 1
