9350572
/m/0285jy7
/m/0285jy7
Michael Dibdin
2005-08-04
a 11
about 1
academic 1
after 1
also 1
an 1
and 4
arrested 1
article 1
as 2
at 1
be 1
been 1
being 1
between 1
black 1
bologna 3
by 1
calls 1
cant 1
canta 1
celebrity 1
centre 1
chandleresque 1
characters 1
che 1
chef 3
coincidences 1
comedy 1
cook 1
cookoff 1
couple 1
detective 1
disastrous 1
duty 1
e 1
edgardo 1
event 1
eye 1
fan 1
fancies 2
feeling 1
flatmates 1
flavia 1
football 2
for 2
found 1
gemma 2
get 1
girlfriend 1
going 1
has 2
her 2
herself 1
high 1
hilariously 1
himself 3
his 2
illegal 1
immigrant 1
important 1
in 4
incanta 1
include 1
investigation 1
is 8
kid 1
knife 1
leads 1
leave 2
liaison 1
live 1
lo 2
local 2
main 1
manages 1
meanwhile 1
meet 1
murder 1
newspaper 1
not 1
of 7
officer 1
on 1
operation 1
other 1
owner 1
parmesan 1
partner 1
princess 1
private 2
profile 1
provoked 1
recalled 1
relationship 1
rich 1
rinaldi 1
romano 1
ruritania 1
sent 1
series 1
shadow 1
she 1
shot 2
sick 1
singing 1
something 1
son 1
stabbed 1
stomach 1
student 2
suggesting 1
team 1
tell 1
that 1
the 8
this 1
tickets 1
to 8
tv 1
ugo 4
ultra 1
wake 1
watch 1
well 2
when 1
where 1
whilst 1
who 4
with 2
worlds 1
worst 1
zen 4
