4540819
/m/0c7xq2
/m/0c7xq2
André Brink
1991
150 1
17th 1
a 8
abandoning 1
about 1
across 1
africa 5
african 1
afrikaans 1
afrikaner 1
allows 1
almost 1
an 4
and 17
apartheid 1
appendix 1
are 2
aspect 1
assassination 1
at 3
attempt 1
attention 1
author 1
badly 1
be 1
becoming 1
believe 1
between 1
bit 2
black 1
blacks 1
book 5
booksized 1
brimming 1
bungled 1
by 2
capable 1
century 1
character 1
characteristics 1
characters 1
classical 1
close 2
colourful 1
comes 1
companions 1
comparatively 1
completes 1
consequences 1
constantly 1
context 1
continues 1
contributed 1
countryside 1
course 1
creates 1
culminates 1
dead 1
deals 1
describes 1
development 2
difficult 1
each 1
embarks 1
embroider 1
escape 1
ethos 1
events 2
every 1
execution 1
expose 1
exposed 1
extending 1
family 3
fashion 1
feelings 1
female 1
fictitious 1
filled 1
finds 1
first 1
firstperson 1
follows 1
for 6
freedomfighters 1
from 1
generation 1
get 1
glossary 1
handle 1
has 2
he 1
him 1
his 2
historical 1
history 1
however 1
hypocrisy 1
impression 1
in 6
includes 1
indoctrinated 1
innovative 1
involves 1
is 8
it 5
itself 1
killed 1
landman 3
lead 1
leads 1
leadup 1
leanings 1
leaves 1
less 1
literary 1
lives 1
long 2
longterm 1
lover 1
made 1
main 1
male 1
mammoth 1
might 1
more 1
most 2
move 1
multiple 2
mutilated 1
narrative 3
necessary 1
novel 2
obvious 1
of 20
on 1
one 1
or 1
other 2
pages 1
people 1
person 1
points 1
political 1
practically 1
presents 1
president 1
protagonist 1
references 1
regime 1
relationship 1
repressive 1
same 1
scope 1
sections 1
seem 1
selfdelusion 1
set 1
several 1
shaping 1
short 1
smith 1
smithian 1
south 6
staid 1
state 1
story 5
striking 1
structure 2
subsequent 1
supports 1
surround 1
switches 1
target 1
terms 1
terrorist 1
that 5
the 37
their 1
then 1
there 1
therefore 1
third 1
thirdperson 1
thirteengeneration 1
this 4
thomas 1
those 1
throughout 2
time 1
times 2
to 9
touches 1
treks 1
two 1
ultimately 1
unnamed 1
unusual 1
up 1
usage 1
values 1
view 1
voices 1
wanted 1
were 1
which 2
while 1
who 2
wholeheartedly 1
whose 1
wide 1
wilbur 1
with 3
words 1
xhosa 1
