17409251
/m/04f_6rb
/m/04f_6rb
Thomas Heywood


a 20
about 1
abroard 1
advice 1
after 1
against 2
alas 1
all 2
almost 2
an 2
and 48
another 1
are 6
arrives 2
as 4
asks 1
at 3
authorities 1
bad 1
be 1
become 1
been 1
before 2
beg 1
beggary 1
better 1
body 1
bread 1
brings 1
brother 3
brothers 4
but 6
by 7
calling 1
campaign 1
cannot 1
captain 1
captivity 1
capture 1
careers 1
carousing 1
challenges 1
characters 1
children 1
churl 1
clinton 3
clown 3
collapses 1
comic 2
comparative 1
compassion 2
conceals 1
conducts 1
confronts 1
connections 1
contrasting 2
couple 2
course 2
crew 2
crime 1
cruel 1
daughter 1
dead 2
death 2
defeat 1
departed 1
dependent 1
development 1
did 1
died 1
dies 1
disinherit 1
displeasure 1
dissuade 1
distress 1
do 1
documents 1
dotard 1
dowry 1
drama 1
draw 1
duel 1
during 1
each 1
earns 1
elder 1
eldest 1
elected 1
emerge 1
ends 1
endure 1
endured 1
engage 1
english 1
estate 4
even 1
evening 1
eventually 1
ever 1
execution 1
extortioning 1
face 1
fairweather 1
fall 1
fallen 1
families 2
family 3
far 1
farm 1
farmers 1
father 2
favor 1
feels 1
fight 3
fled 1
fleeing 1
flinty 1
flourished 1
fool 1
for 8
forgiving 1
forrest 21
forrests 1
fortune 1
fortunes 1
foster 4
frank 3
friends 2
from 5
full 1
gallows 1
garden 1
general 1
generous 1
gentleman 2
gone 1
good 1
goods 1
goodwill 1
goodwin 4
grasping 1
grateful 1
grow 1
hang 1
hangerson 1
hard 1
hardhearted 2
harding 25
hardings 3
harsher 1
has 9
hast 1
have 2
he 11
head 1
headstrong 1
hearing 1
heavily 1
helps 1
her 5
him 7
his 23
home 2
honesty 1
hostile 1
house 1
household 1
i 1
ignores 1
ill 1
impetuous 1
in 8
inheritance 1
inherits 1
insults 1
interlocked 1
into 2
invested 1
investment 1
is 14
it 1
john 3
just 1
killed 2
kind 3
known 2
lamb 1
landrich 1
large 1
law 1
lead 1
leaps 1
learns 1
leaves 1
leaving 1
led 1
like 1
lives 1
living 1
loaning 1
london 1
loose 1
loss 1
loving 1
low 1
lowly 1
luck 1
made 2
makes 2
man 2
many 2
married 2
marry 1
master 6
match 1
may 1
mdash 2
meanwhile 1
meets 1
men 4
merchant 8
mild 1
mildmannered 1
money 1
moral 1
more 1
mrs 5
must 3
my 6
naive 1
named 1
nature 1
needs 1
never 1
new 3
news 3
no 1
nobility 1
notorious 1
now 3
o 1
of 19
off 1
offers 1
oh 2
old 17
older 1
on 2
one 1
opening 1
opposite 1
oppression 1
original 1
orphan 1
out 2
over 1
overcome 1
own 2
papers 1
pardon 1
pass 1
patriarchs 2
permanently 1
philip 9
piracy 1
pirates 3
pitiless 1
plain 1
play 4
poor 3
position 1
poverty 1
powerful 1
prepared 1
prizes 1
profits 1
prosperous 1
prove 1
provides 1
purser 3
pursued 1
quarrelsome 1
quickly 1
rainsford 7
receives 1
reconciliation 1
recover 1
reduced 2
refuses 1
rejects 1
relates 1
relations 1
releases 1
relief 1
relieve 1
reminisce 1
rescue 1
respectful 1
restores 1
result 1
return 1
revealed 1
reversals 1
richer 1
romantically 1
rural 1
ruthless 1
sailor 1
scene 1
sea 2
second 1
seeks 1
sends 1
sententious 1
servant 2
servants 1
service 1
servitude 1
set 1
settle 1
several 1
shall 1
she 3
ship 1
shipping 1
ships 1
shortly 1
showed 1
shown 1
sign 1
signed 1
similarly 1
simply 2
so 2
son 5
sons 3
soon 1
spanish 1
stepmother 1
story 2
street 1
strikes 1
success 2
successful 1
sudden 1
support 1
survive 1
susan 4
sweet 2
swords 1
taken 1
taking 2
tenant 1
than 1
that 4
the 64
their 11
them 1
then 2
they 2
third 1
this 1
thou 1
though 1
three 2
through 3
to 17
too 1
toward 1
travel 1
treats 1
trick 1
tricks 1
tries 1
triumph 1
triumphant 1
turned 1
two 11
uncharitable 1
unhappy 1
until 1
up 1
upon 2
usuring 1
venture 1
vessel 1
vile 1
virtue 1
voyage 2
wall 1
wants 1
was 1
way 1
waylaid 1
wealthier 1
week 1
welcome 1
were 3
what 1
when 3
while 3
who 2
whom 1
widow 1
wife 2
will 1
william 3
with 6
woman 1
word 1
world 1
wretch 1
young 16
younger 4
