921513
/m/03q40g
/m/03q40g
Richard Adams
1974
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 30
able 1
about 1
after 1
again 3
almost 1
alone 2
along 1
already 1
amusement 1
an 5
ancient 1
and 23
animal 1
any 1
apart 1
are 4
army 1
as 8
attacks 1
attempts 1
awakens 1
barons 2
barony 1
barred 1
battle 1
be 3
bear 10
beargod 1
beautiful 1
because 1
before 1
behind 1
beings 1
bekla 4
beklan 2
belief 1
better 1
beyond 1
birth 1
border 1
borders 1
both 1
breaks 1
bring 1
brink 1
brutality 1
build 1
but 7
by 8
cage 1
caged 1
called 1
campaign 1
capital 1
captured 1
carried 1
central 1
chaos 1
children 4
city 1
civilisation 1
climb 1
collapsing 1
communicates 1
comprising 1
continues 1
convinced 1
corruption 1
country 1
cruel 1
crushing 1
customary 1
days 1
dead 2
death 1
deep 1
destined 1
die 2
dismayed 1
distant 1
divine 1
doomed 1
during 1
east 1
embassy 1
emerges 1
empire 3
enormous 1
enter 1
entered 1
enters 1
entire 2
epilogue 1
erupts 1
escapes 1
eventually 2
evil 1
exception 1
factions 1
fair 1
faith 2
final 1
finally 1
fire 2
fireplace 1
first 2
flames 1
flee 1
flees 2
foes 1
follow 1
follows 2
for 2
forest 2
former 1
formerly 1
forward 2
found 1
free 1
from 7
future 1
game 1
gave 1
genshed 3
glowing 1
great 3
greatness 1
grew 1
group 1
guardian 1
halfstarved 1
hardship 1
has 1
having 1
he 5
held 1
her 1
here 2
hero 1
high 1
him 4
his 9
home 3
horribly 1
hundreds 1
hunter 1
idealistic 1
if 1
images 2
in 10
incarnation 1
informs 1
intervention 1
into 2
is 19
island 2
it 2
its 1
itself 1
kelderek 14
killing 1
kindness 3
kingdom 1
knife 1
knowledge 1
known 2
land 1
large 1
later 2
lawful 1
lawless 2
leader 2
led 1
left 1
limited 1
local 1
logs 1
long 1
losing 1
lost 1
love 2
mad 1
madness 1
man 1
managed 1
many 1
married 1
mayor 1
meaning 1
meanwhile 1
meeting 1
melathys 2
military 2
mocked 1
mortally 1
mysterious 1
nature 1
near 1
newcomer 1
nicknamed 1
no 1
now 5
number 1
of 30
old 1
on 4
once 1
one 2
opposing 1
orphans 1
ortelga 1
ortelgans 3
out 1
outlaw 1
outskirts 1
overthrow 1
own 1
passages 1
past 1
people 1
perspective 1
place 1
plays 1
playwiththechildren 1
point 1
power 1
presumed 1
priest 1
priestess 1
priestesses 1
priests 1
prominence 1
pursuit 1
quickly 1
ravaged 1
ravine 2
ravines 1
reaches 1
rebels 1
recaged 1
reciprocate 1
recognises 1
reencounters 1
reestablish 1
refugees 1
regarded 1
religion 1
remarks 1
restored 2
resulting 1
retake 1
returns 1
revealed 1
river 2
riverislands 1
ruled 1
sedated 1
sees 1
sell 1
sent 1
shaggy 1
shardik 10
she 1
shepherd 1
simple 1
siristrou 2
skips 1
slavetrader 1
sleep 1
slumber 1
small 2
society 1
son 2
spotting 1
spreads 1
stagger 1
still 1
stirs 1
story 1
streels 5
surrounds 1
takes 1
taught 1
tells 1
tempered 1
temporal 1
territory 2
that 4
the 62
their 2
them 3
there 1
these 1
they 1
this 5
threatened 1
through 2
time 1
to 23
together 1
told 2
tormenting 1
torn 1
town 3
traveller 1
treating 1
tremendous 1
turn 1
two 1
until 1
unworldly 1
urtah 1
visit 1
was 1
way 1
when 3
who 9
widely 1
wilderness 1
wise 1
with 7
woman 3
woods 2
working 1
world 1
worship 2
wounding 1
years 1
young 1
zakalon 2
zeray 2
