3291184
/m/093p6m
/m/093p6m
Louis Cha
1956
a 13
accepts 1
actually 2
adventure 1
after 2
against 1
ajiu 1
allegiance 1
allies 1
allow 1
also 3
an 2
and 19
anything 1
army 2
around 1
arts 2
as 1
assassinate 1
attempts 1
battery 1
because 1
become 1
becomes 1
before 1
befriends 1
being 1
belonged 1
brigands 1
brutality 1
but 3
by 5
called 3
cannons 1
centers 1
changping 1
chengzhi 13
china 3
chonghuan 1
chongzhen 3
commander 1
common 1
companions 1
condones 1
corrupt 1
countrymen 1
coup 1
cult 1
daughter 2
dead 1
death 2
decides 3
decision 1
defects 1
defend 1
despite 1
develops 1
disappointed 1
discover 1
discovered 1
distant 1
do 1
during 1
dynasty 1
eager 1
emperor 4
enigmatic 1
eventually 1
expelled 1
fails 2
fallen 1
family 3
father 2
finances 1
fine 1
five 1
followers 2
follows 1
for 4
force 1
forces 1
foreigners 1
form 1
former 1
from 4
fulfill 1
general 1
gold 1
golden 1
good 1
government 2
grows 1
grudge 1
harbouring 1
has 1
he 12
helps 1
her 3
heroism 1
him 3
his 10
hong 1
hua 2
hui 2
in 6
incidents 1
infiltrates 1
inherits 1
initially 1
invading 1
is 6
join 1
land 2
late 1
later 2
lead 1
leader 1
learns 1
leave 2
leaves 1
led 1
li 4
long 1
loyalty 1
maiden 2
makes 1
manchu 2
manchus 2
manual 1
martial 2
meets 2
military 1
ming 5
more 1
mount 2
mu 1
mukden 1
nanjing 1
noble 1
northeast 1
not 1
of 9
on 1
once 1
one 1
only 1
organises 1
orphan 1
out 1
overrun 1
overthrow 1
overthrowing 1
part 1
pass 2
patriotic 1
peace 1
people 1
pledge 2
poisons 1
possessions 1
powerful 1
prince 2
princess 1
promises 1
prove 1
pugilist 1
pugilists 1
put 1
qingqing 3
realises 1
rebel 1
rebellion 1
rebels 1
redress 1
reforming 1
regret 1
relationships 1
renqing 1
respect 1
rest 1
restore 1
retrieve 1
reverse 1
robbed 1
romantic 1
ruler 1
sabotages 1
sails 1
sangui 1
saves 1
search 1
sect 1
seek 1
sent 1
serendipitous 1
serpent 1
serve 1
set 1
several 1
shanhai 1
she 1
situation 1
skills 1
son 1
stability 1
story 1
student 1
succeeds 1
supplied 1
support 1
sword 1
swordsman 1
taiji 1
than 1
that 3
the 27
them 1
they 1
through 1
tieshou 1
time 1
to 26
towards 1
treacherous 1
treasure 1
tutored 1
unable 1
up 1
wanders 1
wanted 1
was 1
wen 4
when 1
where 1
which 1
who 3
with 4
wrongly 1
wu 1
xia 3
xueyi 3
young 2
yuan 14
zicheng 3
