8719688
/m/027g6bl
/m/027g6bl
James Patterson
2006
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
13 1
2005 1
a 8
action 1
after 1
ago 1
aka 1
alex 8
an 1
and 11
anlo 1
are 1
area 1
at 2
attacks 1
aware 1
baltimorewashington 1
because 1
begins 1
bloody 1
book 1
boss 2
both 1
burns 1
but 5
butcher 5
by 3
cases 1
chinese 1
college 1
committed 1
complicated 1
confessing 1
couple 1
cross 5
dc 3
director 1
do 1
does 1
dominic 1
ends 1
errand 1
excellent 1
execution 1
family 1
fbi 1
fend 1
find 1
flashback 1
for 4
former 1
frightening 1
from 3
galati 1
go 1
gunshots 1
happily 1
has 1
hats 1
he 6
him 4
his 6
hitman 1
in 12
injured 1
investigatingand 1
is 6
its 1
jiang 1
jimmy 1
job 1
john 3
jr 1
kill 3
killed 2
latter 1
leaving 1
life 1
like 1
live 1
longkept 1
loses 1
luck 1
maggione 7
make 1
manages 1
many 1
maria 1
michael 1
miserable 1
mob 1
murder 1
narrates 1
new 1
next 1
night 2
not 2
objections 1
of 5
off 1
on 2
opening 1
out 1
over 1
participates 1
partner 2
pays 1
place 1
plot 1
practice 1
pregnant 1
prepares 1
private 1
protect 1
rape 1
rapes 2
realizes 1
return 1
revenge 1
ron 1
same 1
sampson 3
secret 1
section 1
seeks 1
sent 1
series 1
shootout 1
simpson 1
skills 1
so 1
solve 1
something 1
son 1
southeastern 1
still 1
story 1
strange 1
sullivan 5
survives 1
takes 1
targets 1
teen 1
that 2
the 21
thinks 1
time 1
to 14
together 1
trap 1
trying 3
vendettawielding 1
venice 1
visit 1
waiting 1
wants 1
washington 2
were 1
which 1
while 1
who 1
wife 2
with 1
witnessed 1
work 1
years 1
