4885935
/m/0csljm
/m/0csljm
Jeff Smith
1997
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/01z4y": "Comedy", "/m/09kqc": "Humour", "/m/02xlf": "Fiction"}
a 17
about 3
absence 1
action 1
actuality 1
addresses 1
adopts 1
after 2
aftermath 1
again 1
against 2
agony 1
all 1
allies 1
alone 1
alongside 1
already 1
ambush 1
an 1
and 47
angered 1
announces 1
another 2
appointing 1
are 2
arm 2
armies 1
army 4
arrive 1
arrives 2
as 11
at 8
atheia 1
attack 3
attacked 2
attacks 2
attempts 1
awakened 1
awakening 1
away 3
baby 2
back 5
bar 1
barn 2
barrelhaven 6
barricaded 2
be 4
bearing 1
because 1
becomes 1
been 5
before 1
begins 1
begun 1
being 1
believe 1
ben 14
bet 1
blade 1
blame 1
bloodsplattered 1
blur 1
body 1
bone 18
border 1
bring 1
brings 1
burned 1
but 8
by 5
cache 1
call 1
capture 1
captures 1
cari 1
carry 1
catch 1
cause 1
chase 1
child 1
clad 1
club 1
collapses 1
collected 1
columns 1
coming 1
complicated 1
compound 1
concealed 1
consequences 1
contact 1
continues 1
control 3
convinces 1
could 1
courtesy 1
creature 8
creatures 10
crest 1
cries 1
crossing 1
crown 1
cub 4
cuband 1
dangerous 1
dangers 1
days 1
decide 1
decides 1
declines 1
deliberately 1
delighted 1
deren 1
describes 1
desert 1
dishonest 1
dislikes 1
distress 1
dizziness 1
dont 1
down 5
dragon 10
dragons 4
dragonslaying 1
dream 1
dreaming 1
dreams 4
dresses 1
drive 1
earth 1
eastern 1
else 1
enclosing 1
encounters 1
end 1
enemies 1
evacuated 1
evacuating 1
even 2
everything 1
exhausted 1
exhaustion 1
explain 1
explains 1
face 2
fainted 1
fallen 1
farm 2
fear 1
feared 1
fears 2
feeling 1
fees 1
fences 1
fending 1
fight 2
fighting 1
find 4
finds 1
flee 2
flees 1
follow 1
following 1
fone 13
for 12
forest 1
found 1
four 2
free 1
friends 1
from 5
further 1
gains 2
garbage 1
gard 1
gets 1
gitchy 1
gives 1
goes 2
goods 2
grandmother 1
granma 12
great 2
happened 1
has 14
have 3
haze 1
he 10
head 1
hearing 1
help 1
her 26
high 1
him 9
himself 2
his 13
hoarding 1
home 1
hooded 8
house 2
how 2
illgotten 2
impending 1
in 21
indeed 1
inhabitants 1
inn 1
instructing 1
instructions 2
instructs 1
interested 1
into 6
is 14
it 4
its 2
itself 1
joined 1
just 2
kill 6
kingdok 4
kingdom 1
knife 1
knocks 1
late 1
laws 1
leader 1
learn 1
learns 1
leaves 2
leaving 1
lectures 1
left 1
let 1
lightning 1
like 2
locusts 5
long 1
look 1
loot 1
lord 5
lucius 6
lure 1
make 1
makes 1
manipulation 1
many 1
massed 1
may 1
meanwhile 4
meet 1
meets 2
men 1
message 1
minute 1
monks 3
more 2
morning 1
most 2
mountains 3
mystics 1
news 1
next 1
nick 1
night 2
nights 1
not 1
of 39
off 4
offroad 1
old 1
omen 1
on 5
once 2
one 11
only 3
opportunity 1
or 1
orders 2
out 6
own 1
pack 2
pain 1
party 2
pass 1
past 1
patience 1
pawa 2
pawans 1
payment 1
pendant 1
person 1
pet 1
phoney 12
plan 2
plans 1
points 1
popular 1
power 2
precursor 1
prepare 1
prepares 1
preparing 1
press 1
princess 2
promptly 1
protection 1
protests 1
puts 1
queen 1
rallying 1
rat 18
rather 1
reach 1
reason 1
red 2
refuse 1
release 1
reluctantly 1
return 3
returns 1
revealing 1
revelations 1
right 1
rising 1
risk 1
roads 1
robes 1
royal 1
run 1
runs 1
ruse 1
rushes 1
saved 1
say 1
scene 1
scrounging 1
searching 1
sect 1
seeks 1
sees 1
seize 1
sent 1
set 2
she 8
shocked 1
show 1
showing 1
sight 1
sky 1
slayer 1
sleep 1
slices 1
slipping 1
smiley 6
smoke 1
sneak 2
so 1
soon 1
south 1
stair 1
staying 1
steps 1
stockpiled 1
stops 1
strays 1
strike 1
study 1
stupid 2
succeed 1
suddenly 1
suffers 1
suspects 1
swings 1
sword 5
taken 1
takes 1
taking 1
tales 2
tavern 2
ted 1
tell 1
tells 3
terrified 1
than 2
that 10
the 120
their 6
them 8
themselves 2
then 1
they 4
thin 1
this 1
thorn 21
thrall 1
threatened 1
threatens 1
through 1
throwing 1
time 2
to 50
torn 1
touch 1
town 7
townsfolk 6
townspeople 5
traditionally 1
trap 2
travel 1
tries 1
trouble 1
trussedup 1
turn 1
turns 2
two 5
unable 1
under 1
up 3
urge 1
use 1
uses 1
valley 5
veni 3
veniyan 1
venu 1
village 1
visions 1
visited 1
wait 1
wakes 1
walks 1
war 3
was 1
way 2
wear 1
well 1
what 1
when 3
where 2
which 1
who 6
will 2
with 15
woods 1
wounding 1
wounds 1
yan 3
young 1
