3382973
/m/098qrx
/m/098qrx
Henry James

{"/m/05hgj": "Novel"}
a 4
again 1
and 4
annoyed 1
arranged 1
assures 1
at 2
attracted 1
basil 2
be 1
before 2
begin 1
boston 3
but 1
by 1
career 1
chancellor 1
charismatic 1
civil 2
college 1
conservative 1
cousin 1
delivers 1
discomfiture 1
dismay 1
doing 1
elope 1
equally 1
eventually 1
eyes 1
fascinated 2
fellowfeminists 1
feminist 2
final 1
finds 1
for 2
grounds 1
hall 2
harvard 1
has 2
he 2
her 5
herself 1
him 2
his 2
house 1
impressive 1
in 6
including 1
is 4
james 1
just 1
last 1
law 1
lawyer 1
leave 1
meanwhile 1
meeting 1
memorial 1
mississippi 1
move 1
movement 1
much 1
music 1
never 1
new 1
not 2
novel 1
of 2
olive 5
on 1
parents 1
persuades 2
political 1
practice 1
preparation 1
proposes 1
ransom 5
returns 1
scheduled 1
sentence 1
set 1
she 2
shows 2
speak 1
speaker 1
speech 3
strong 1
study 1
takes 1
tarrant 1
tearsnbsp 1
the 11
through 1
to 11
up 1
us 1
verena 10
veteran 1
visits 2
walks 1
war 2
well 1
where 1
which 1
who 1
with 4
york 1
