10181071
/m/02q4csb
/m/02q4csb
Mercedes Lackey

a 13
able 2
accept 1
accompanies 1
acolyte 1
acquire 1
afire 1
after 3
alberich 12
all 1
along 1
and 13
another 1
are 2
army 1
arranged 1
arrives 1
as 8
at 3
bandits 1
barn 2
battle 2
battles 1
be 1
becomes 1
been 2
behalf 1
bodyguard 1
by 1
can 1
captain 1
captiol 1
chooses 1
circuit 1
city 2
collegium 1
companion 3
companions 1
condemned 1
connections 1
courts 1
day 1
deal 1
death 1
deciding 1
demons 1
does 1
dramatic 1
entire 1
fact 1
father 1
fight 3
final 1
finally 1
flashes 1
fled 1
for 2
forces 1
foresight 1
from 3
full 1
funeral 1
generations 1
gets 1
gift 1
given 1
go 1
god 1
grief 1
grooming 1
guild 1
had 2
has 3
have 1
haven 1
he 9
hellhorses 1
help 1
helps 1
her 2
herald 1
heralds 1
him 3
hired 1
his 11
horse 2
however 1
in 7
informed 1
injuries 1
intelligence 1
into 3
invading 1
is 12
kantor 1
karse 5
karsite 1
killed 1
king 4
known 1
later 2
life 2
locked 1
longer 1
loses 1
lost 1
made 2
matters 1
men 1
mercenaries 3
mercenary 1
military 1
musters 1
named 2
nation 2
new 1
no 1
not 1
now 2
of 10
old 1
on 3
one 2
out 2
own 3
person 1
priest 2
priesthood 1
princess 1
procession 1
proclaims 1
promotion 3
pull 1
queen 1
realization 1
receive 1
recovers 2
redrobe 1
rescues 1
retire 1
return 3
rolan 1
rushes 1
save 1
season 2
second 1
seems 1
selenay 3
sendar 2
set 1
settles 2
she 1
taken 1
talamar 1
talamir 1
taught 1
taver 1
tedrel 3
that 4
the 22
their 2
therefore 1
they 1
this 2
tied 1
to 16
trainee 1
training 1
turns 1
unwillingly 1
upon 2
uses 1
valdemar 5
valdemaran 1
village 2
vision 1
vkandis 2
war 1
wars 1
weaponmaster 2
well 3
were 1
what 1
when 3
where 1
while 1
who 1
witchpower 1
with 2
youngest 1
