13500798
/m/03c7d38
/m/03c7d38
Steve Barlow
2007
a 10
about 1
accident 1
achieves 1
afford 1
after 3
again 3
all 3
allowed 1
although 1
an 3
and 28
any 1
are 3
arrogant 1
as 5
at 3
attend 1
away 1
back 4
banishes 2
bank 1
based 1
be 3
because 1
become 1
being 1
better 1
boy 1
breena 1
bresal 2
but 6
buys 1
by 2
called 6
cannot 1
cara 27
child 1
children 2
circled 1
clean 1
cleans 1
cliff 1
comes 1
competition 2
competitions 3
confusing 1
constantly 1
control 1
convince 1
couldnt 1
course 1
dancer 1
day 1
death 1
decide 1
declares 1
destroyed 1
determined 1
died 1
direction 1
discover 1
do 2
does 2
dragon 3
dragonrider 1
dragons 6
dragonsdale 7
drane 9
during 1
encourages 1
encouraging 1
ends 1
even 1
ever 3
excellent 1
falls 1
farm 1
father 5
favorite 1
fictional 1
finally 2
finds 1
firedogs 3
first 1
flame 2
flight 1
fly 3
following 1
follows 2
for 4
forbidden 1
friends 2
from 3
gets 3
go 1
goal 1
goes 2
had 1
happening 1
happily 1
has 1
having 1
he 1
head 1
hear 2
help 1
her 10
him 2
hortense 7
hortenses 1
however 1
howlers 3
huw 5
in 9
into 1
is 15
isles 1
it 4
job 1
just 1
knows 1
leading 1
leads 1
learn 1
least 1
let 1
lets 1
live 1
location 1
lose 2
loses 2
mad 3
make 1
makes 1
making 1
many 2
mist 1
mistakes 1
mother 1
mountains 3
muck 1
must 1
muzzle 1
nearly 1
noon 1
not 1
novel 2
now 1
obstacle 1
obstacles 2
of 6
off 3
on 4
one 2
only 1
out 3
participate 1
path 2
picked 1
place 1
preparing 1
promising 1
protagonist 1
protected 1
pulls 1
ready 1
refuses 1
rewards 1
ride 8
riding 4
ring 1
rode 1
runs 2
safety 1
saved 1
say 1
second 1
secretly 1
seems 1
sees 1
sequel 1
she 11
shirt 1
signals 1
sky 7
skydancer 16
slowly 1
stable 1
stables 2
still 1
stops 1
storm 1
such 1
sun 1
supports 1
surprisingly 1
take 1
takes 2
talons 1
that 7
the 29
them 1
then 1
there 1
they 4
theyre 1
things 1
this 3
though 1
through 2
time 3
to 24
together 2
train 3
trains 1
trying 1
until 1
up 3
veil 1
was 1
way 1
well 2
what 1
when 4
which 1
while 2
whip 1
who 1
with 4
wont 1
wony 1
worried 1
wrong 1
yelling 1
young 1
