2364379
/m/076r3z
/m/076r3z
Kage Baker
2004-12
150000 1
24th 1
3000 1
a 6
able 2
about 2
accounts 2
achievements 1
affects 1
after 1
age 1
alcohol 1
alec 4
all 4
already 1
amount 1
an 1
and 8
any 1
apparently 1
are 3
around 1
assistance 1
assistant 1
at 3
aware 1
away 1
back 2
be 3
because 1
become 2
becomes 2
behind 1
bills 1
both 1
but 3
by 4
can 3
cannot 1
captain 3
care 1
catalina 1
century 1
certain 1
chapters 1
checkerfield 1
chocolate 1
committed 1
company 5
controlled 1
crime 1
crimes 1
cruz 1
cyborg 1
cyborgs 1
day 1
desolated 1
developed 1
device 1
did 1
different 1
disables 1
dismal 1
does 1
doing 1
down 1
easy 1
england 1
entity 1
especially 1
etc 1
eventually 1
exile 1
extension 1
filled 1
finds 1
first 2
for 2
forward 1
from 4
fruit 1
future 1
genetic 1
get 2
given 1
goes 1
growing 1
happening 1
has 2
have 1
he 8
heinous 1
her 3
herself 1
highly 1
him 3
his 4
history 1
housekeepers 1
however 2
human 1
illegal 1
image 1
in 11
initially 1
inklings 1
instinct 1
intact 1
is 12
island 1
it 2
journal 1
just 1
learn 2
leave 1
leaves 1
left 1
let 1
lives 1
living 1
londoners 1
looks 2
lovers 1
lucrative 1
machine 1
machines 1
man 2
manages 1
master 1
material 2
may 1
meat 1
mendoza 5
might 1
months 1
moral 1
more 1
morgan 1
most 2
name 1
next 2
no 3
nonetheless 1
oceans 1
of 16
on 5
once 1
one 3
only 1
or 1
out 1
outwits 1
own 1
part 2
partner 1
parts 1
past 2
pay 1
peak 1
perhaps 1
period 1
person 1
personal 1
piloted 1
pirate 1
plants 1
portions 1
precocious 1
previous 2
previously 2
privileged 1
puritanical 1
remember 1
reprogram 1
resolve 1
resort 1
rich 1
rule 1
santa 2
scion 1
selfdestruct 1
selfloathing 1
she 10
ship 1
shows 1
shuttle 1
since 2
slipped 2
small 1
smart 1
smuggling 1
so 1
some 1
somehow 1
spends 1
stay 1
stole 1
supplied 1
teaching 1
telling 1
than 1
thanks 1
that 3
the 27
their 3
them 1
there 1
these 1
they 2
this 7
through 1
time 8
to 10
tourists 1
two 1
uncertain 1
unit 1
unknown 2
unto 2
up 2
using 1
vegetables 1
version 1
vessels 1
way 1
we 1
what 3
when 1
which 1
who 2
with 3
world 2
worse 1
written 1
years 3
young 1
zoning 1
