14735351
/m/06ssx_
/m/06ssx_
Penelope Lively
1973-03-26
17thcentury 1
a 6
alone 1
also 1
among 1
and 5
apprentice 1
are 3
as 1
attacks 1
be 1
been 1
believe 1
believes 1
blame 1
blamed 1
both 1
boy 1
but 2
by 2
called 2
caused 1
cottage 1
cunning 1
dangerous 1
day 1
determines 1
disturbed 1
do 1
doctor 1
eventually 1
family 1
first 1
for 3
from 1
ghost 1
ghosts 1
had 1
harrison 1
harrisons 1
he 4
help 1
him 1
his 3
in 3
incidents 2
into 1
is 4
james 5
kempe 4
learns 1
ledsham 1
life 1
long 1
make 1
man 1
many 1
modern 1
most 1
move 1
mrs 1
no 1
not 2
now 1
nurse 1
of 1
or 1
out 1
outside 1
people 1
pharmacist 1
place 1
policemen 1
regarding 2
resolve 1
resume 1
situation 1
small 1
so 1
sorcerer 1
sorcery 1
such 1
that 2
the 8
there 1
they 2
thomas 1
those 1
time 1
to 4
tries 2
until 1
usurps 1
verity 1
vicar 1
vicious 1
village 2
wants 1
way 1
who 1
whom 1
whose 1
witch 1
with 1
work 2
world 1
