26292679
/m/0b74sbb
/m/0b74sbb
Liang Yusheng

20 1
a 9
absence 1
acts 1
actually 1
adventure 1
adventures 1
age 1
aims 1
alive 1
allegiance 1
alone 1
also 1
and 22
aristocrat 1
army 1
as 3
at 4
attack 1
baidu 5
battle 1
be 1
become 1
becomes 1
birthday 1
blessings 1
brother 2
brothers 1
but 2
by 4
case 1
china 4
chinese 2
city 1
clearing 1
cliff 1
coerce 1
coincidence 1
combine 2
commit 1
conquering 1
control 1
cult 1
daughter 1
dead 1
defeat 1
defeated 1
defend 1
demons 1
dies 1
disrupt 2
dissatisfied 1
during 1
dynasty 1
ends 1
evil 3
face 1
falls 2
fame 1
foil 1
follows 1
for 1
forces 2
formed 1
from 4
general 1
gifts 1
gongsun 4
gu 1
han 1
happily 1
happy 1
harmonies 2
has 2
have 1
he 5
hear 1
heaven 1
help 1
helping 1
her 3
heroic 1
him 3
his 5
hong 2
hongying 3
humiliation 1
in 8
intends 1
into 1
invaders 1
investigates 1
is 10
island 1
jianghu 2
jin 10
join 1
justice 1
kill 1
late 1
later 1
leader 2
leaves 1
li 13
love 1
lowlifes 1
lure 1
mainland 1
manchu 2
manchuria 1
manchus 2
married 2
marry 2
meanwhile 1
meets 3
meng 3
ming 3
more 1
name 2
nanxing 10
nephew 1
north 1
note 1
of 14
off 1
on 2
once 1
one 1
other 2
overnight 1
party 1
peoples 1
performs 1
pledges 1
plot 1
point 1
poor 1
precious 1
presumed 1
propel 1
protagonists 2
pugilists 4
qinghai 1
raised 1
receive 1
red 1
reestablish 1
relationship 1
righteous 2
roams 1
rob 1
romantic 1
safuding 3
same 1
saved 1
search 1
sect 1
seize 1
series 1
several 1
shengnan 1
shi 8
shiyi 1
sister 3
six 2
society 2
some 2
son 1
still 1
story 2
strikes 1
succeeds 1
surprised 1
survived 1
swordsman 1
sworn 3
tassel 1
that 3
the 31
their 1
they 2
threat 1
time 2
to 19
together 1
trap 1
travels 1
tribal 1
trick 1
tries 1
up 1
upholding 1
use 1
villain 1
villains 1
volunteer 1
wandering 1
wants 1
was 1
wedding 1
while 1
who 3
with 3
wounded 1
wulin 1
xiong 3
yan 2
younger 1
yuan 1
yugong 1
yunhai 1
zhihua 1
zhuliu 9
