13727517
/m/03cgd_f
/m/03cgd_f
Jim Butcher
2006-06-27

a 8
after 2
already 1
and 8
angry 1
another 1
appear 1
appears 1
are 2
as 5
assistance 1
at 1
atlantic 1
attack 1
attacks 1
basketball 2
battle 1
be 2
being 1
black 1
book 1
bought 1
brother 1
but 1
by 3
can 1
cant 1
car 2
cat 1
caused 1
challenged 1
character 1
city 1
coach 1
coaching 1
comics 1
danger 1
death 1
defeats 3
despite 1
discussing 1
doctor 1
drive 1
driving 1
easily 1
end 1
enraged 1
evades 1
felicia 2
figure 1
find 1
finds 1
for 1
forced 1
from 1
get 1
good 1
got 2
hardy 1
he 5
help 1
her 3
high 1
him 2
home 1
how 1
husband 1
in 4
included 1
into 2
is 8
it 2
jane 1
knocks 1
knowing 1
known 1
lady 1
larkin 1
like 1
macbeth 1
making 1
malos 1
marvel 1
mary 1
maryjane 2
morlun 1
mortia 1
needed 1
never 1
nighimpossible 1
not 1
novel 1
of 3
on 1
opens 1
other 1
otherwise 1
out 1
parker 1
part 1
peter 5
play 1
player 1
players 1
playing 1
putting 1
refuses 1
regular 1
required 1
rest 1
returns 1
rhino 3
samuel 2
say 1
school 1
science 1
season 1
seeks 1
she 3
show 1
siblings 3
since 1
soon 1
spiderman 4
square 1
star 1
strange 1
substitute 1
suspended 1
swat 1
swings 2
teaches 1
teaching 1
team 1
tells 1
thanis 1
that 5
the 19
their 1
them 3
therefore 1
they 1
three 1
through 1
times 1
to 7
trap 1
unable 1
unconscious 1
university 1
until 1
vaccines 1
vengeful 1
wallcrawler 1
watson 1
what 1
where 1
who 2
whom 1
will 1
with 3
work 1
