2316427
/m/0738q7
/m/0738q7
C.D. Payne
1993-06
14yearold 1
a 15
aboveaverage 1
adopting 1
after 2
aka 1
all 1
an 2
and 8
as 1
becomes 1
been 1
before 1
befriends 1
beginning 1
belief 1
best 2
beyond 1
big 1
book 1
boy 1
boyfriend 1
briefly 1
camp 1
carlotta 2
chevy 1
christmas 2
closer 1
clothes 1
completely 1
conservative 1
continues 1
corrupt 1
could 1
crimes 1
dating 1
decides 2
defalco 1
died 1
dies 1
disposition 1
divorced 1
does 1
dollars 1
down 1
dresses 1
driver 1
elderly 1
ends 1
escaping 1
estelle 1
eve 1
everyone 1
faced 1
for 1
forced 1
fortune 1
frank 1
friend 2
from 4
fuzzy 2
george 1
get 2
gets 1
go 2
grandmother 1
group 1
had 1
half 1
hands 1
he 5
help 1
her 1
hides 1
him 5
his 9
home 1
homelessness 1
house 1
idea 1
in 5
india 1
inherits 1
intelligence 1
into 1
is 6
it 4
jerry 2
joanie 3
knew 2
late 1
left 1
lefty 1
leroy 1
life 2
like 1
liking 1
loss 1
main 1
makes 1
meets 1
million 1
mobile 1
money 1
mother 2
name 1
named 1
neighbor 2
nicholas 1
nick 11
night 1
normal 1
not 1
nova 1
of 5
officer 1
on 2
other 1
out 1
outsmarting 1
parents 1
people 1
plots 1
police 3
present 1
protagonist 1
put 1
receive 1
relationship 1
religious 1
response 1
returns 1
reveals 1
revenge 1
rich 1
richer 1
run 1
sailors 3
saunders 1
secret 1
seizes 1
sells 1
several 2
she 2
sheeni 5
sheridan 1
sister 1
so 2
somewhat 1
soon 1
spending 1
squatting 1
starting 1
strategically 1
take 1
takes 1
teenager 1
that 3
the 12
them 1
then 1
there 1
thereby 1
they 1
thinking 1
through 1
to 9
tricks 1
truck 1
turned 1
twisp 1
ukiah 1
until 1
up 1
upside 1
vacation 1
wart 1
was 1
watch 1
went 1
when 3
while 1
who 2
will 1
with 7
youth 1
