647358
/m/02_915
/m/02_915
Gavin Lyall
1964
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction", "/m/05hgj": "Novel"}
a 7
accidents 1
aerial 1
american 2
an 1
and 3
assaulted 1
bear 1
beatup 1
beautiful 1
beaver 1
bill 1
border 1
brother 1
bush 2
by 1
cargo 1
cary 2
charter 2
comes 1
contract 1
de 1
deposits 1
dubious 1
end 1
espionage 1
events 1
fellow 1
finland 2
finnish 2
flights 2
fly 1
flying 2
for 5
from 3
get 1
getting 1
gold 1
havilland 1
he 3
her 1
him 1
hires 1
his 3
however 1
hunt 1
hunter 2
in 7
incident 1
increasingly 1
into 1
involved 1
is 3
killed 1
lapland 1
legitimacy 1
living 2
looking 1
lost 1
making 1
may 1
more 1
near 1
nickel 1
northern 1
occasional 1
of 4
off 1
old 1
order 1
part 1
past 1
pilot 1
pilots 1
police 2
precarious 1
prohibited 1
refuses 1
search 2
season 1
secret 1
series 1
serious 1
sister 1
smuggling 1
sovereigns 1
soviet 1
start 2
stem 1
subsequently 1
survey 1
suspects 1
suspicion 1
suspicious 1
that 1
the 7
things 1
thugs 1
to 4
towards 1
treasure 1
tsarist 1
tsaristera 1
turning 1
turns 1
under 1
up 2
wartime 1
wealthy 2
when 3
