158341
/m/014wm9
/m/014wm9
Frank Herbert
1970
a 11
abnethe 2
accepting 1
accompanied 1
adult 1
after 1
agents 1
all 3
allowing 1
allows 1
almost 1
among 2
and 7
any 1
appeared 1
are 3
as 5
at 2
be 2
become 1
been 1
before 1
begin 1
beings 1
best 1
body 1
born 1
bound 1
bureau 1
busab 3
but 1
by 6
caleban 5
calebans 5
called 1
cloud 1
collective 1
connected 1
consentiency 2
consequences 1
constrained 1
contact 1
contract 1
could 1
create 1
death 1
deaths 1
democracy 1
didnt 1
die 2
died 1
dies 1
disappear 1
disappearance 1
disappearing 1
discontinuity 1
each 2
effects 1
entities 1
ever 1
every 1
everyone 1
existence 2
exiting 1
exits 1
extraordinary 1
fannie 4
far 1
fast 1
female 1
find 1
for 1
form 1
found 1
from 2
future 1
galaxy 1
given 1
govern 1
government 1
gowachin 1
gratefully 1
had 1
hands 1
has 6
have 1
he 1
helped 1
henchmen 1
her 5
hired 1
human 1
humankind 1
hydrogen 1
if 1
immense 1
in 8
incurable 1
individuals 1
insane 1
insanity 1
instances 1
instantly 1
interstellar 1
into 2
is 5
it 2
jorj 1
jumpdoor 2
jumpdoors 1
killed 1
laclac 1
large 1
law 1
laws 1
leaving 1
legislating 1
made 1
mae 4
many 1
mckie 3
millions 2
ministrations 1
mliss 3
naturally 1
need 1
ninety 1
no 1
novel 1
now 1
numerous 1
of 13
offered 1
one 4
opening 1
opens 1
or 2
other 2
others 1
our 3
palenki 1
pan 1
plane 1
point 1
power 2
presumably 1
preventing 1
prior 1
private 1
protecting 1
psychotic 1
public 1
pure 1
question 1
reaches 1
recklessly 1
rejuvenating 1
remain 1
rendered 1
restricting 1
revealed 1
sabotage 1
saboteur 1
save 1
saving 1
sentiency 1
sentient 3
sentients 2
setting 1
shunts 1
slow 1
so 1
space 1
spechi 1
species 4
star 2
stars 1
stellar 1
stop 1
succeeds 1
suffering 1
taprisiots 1
that 3
the 26
themselves 1
thereby 1
thought 1
time 1
to 17
torture 1
travel 1
troublemaker 1
tyrannous 1
ultimate 1
under 1
universe 1
used 1
visible 1
wave 1
wealth 1
well 1
were 1
wheels 1
when 2
which 3
whipped 1
whipping 2
who 3
will 1
with 2
words 1
world 1
would 1
wreaves 1
x 1
years 1
young 1
