16245289
/m/03wdz5l
/m/03wdz5l
Maureen Johnson
2006-09
{"/m/05hgj": "Novel"}
12th 1
13 1
13th 2
a 9
about 1
adams 1
after 1
again 1
aid 1
allowed 1
along 2
alreadydistressed 1
amsterdam 1
an 1
and 11
any 2
anything 1
apartment 1
argument 1
arriving 1
art 1
artist 2
as 1
at 1
attic 1
auction 1
aunt 7
australian 1
back 1
backpack 2
become 1
before 1
bennett 1
best 1
bit 1
blackstone 1
blue 2
break 1
bring 4
can 2
cannot 3
carrie 1
collection 1
completed 1
completely 1
crush 1
day 1
dead 1
denmark 1
department 1
destination 1
discover 1
during 1
electronic 1
emmett 1
encounters 1
england 1
enlists 1
envelope 6
envelopes 2
even 1
extra 1
family 1
feels 1
final 3
finally 1
fits 1
follow 2
following 1
for 2
foreign 2
form 1
four 2
friend 1
from 1
gang 1
ginny 5
girl 2
go 1
goes 1
greece 1
guru 1
half 1
harrods 1
has 5
he 1
help 1
her 16
high 1
him 1
home 1
horrible 1
hotel 1
house 1
hyperactive 1
illness 1
in 5
information 1
inheritance 2
into 1
is 7
it 1
jersey 1
journal 1
keith 4
kind 2
know 1
knows 1
lands 1
language 1
large 1
last 2
later 1
lead 1
leave 1
leaves 1
leaving 1
letter 2
letting 1
london 2
makes 2
manages 1
mari 1
married 1
meet 1
meets 3
money 1
named 1
never 1
new 1
next 2
nigel 1
night 1
now 1
of 6
on 3
once 1
one 1
only 2
open 2
or 3
painting 1
paintings 1
paris 1
part 1
peg 3
previous 1
private 1
proceeds 1
reached 1
read 1
ready 1
realizes 1
received 1
return 1
returning 1
richard 6
roommate 1
rules 1
runaway 1
runs 1
said 1
school 1
scotland 1
secondtolast 1
selfproclaimed 1
set 1
seventeenyearold 1
several 1
she 16
sold 1
starving 1
stolen 1
store 1
students 1
studio 1
summer 1
task 1
tells 2
that 3
the 19
then 1
there 2
they 3
this 1
though 1
to 17
together 1
told 1
travel 1
trove 1
uncle 1
unsettles 1
upon 1
use 1
used 1
very 1
virginia 1
way 2
ways 1
weeks 1
were 1
what 2
whenever 1
where 1
which 2
while 1
who 3
will 1
with 4
writes 1
year 1
you 5
your 1
