22606861
/m/05zr280
/m/05zr280
Storm Constantine
2001-02-03
a 5
about 1
academy 1
after 1
allured 1
an 1
and 5
as 1
attends 1
been 1
best 1
both 1
brash 1
brother 2
by 2
child 2
culminating 1
days 1
describing 1
dragon 1
drowns 1
ellony 2
empties 1
engage 1
extrovert 1
few 1
friends 1
future 1
gardens 1
girl 1
have 1
having 1
he 2
her 6
his 2
i 1
immortal 1
in 5
interest 1
into 2
is 2
it 1
khaster 1
leaves 1
leaving 1
life 1
lines 1
lover 1
man 1
meets 1
melody 1
military 1
miscarriage 1
now 1
of 3
pharinet 5
playing 1
possessed 1
prediction 1
predicts 1
pregnant 1
realised 1
returns 1
runs 1
saying 1
sea 2
seed 1
sex 1
sexually 1
she 2
singing 1
so 1
soothsayer 1
starts 1
takes 1
that 1
the 7
them 1
thinking 1
twincest 1
valraven 3
visits 1
where 1
who 2
with 4
you 1
young 2
