5925896
/m/0fdwd2
/m/0fdwd2
Tess Gerritsen

a 4
abbey 1
about 1
and 4
another 1
apprentice 1
are 2
as 1
be 1
beyond 1
body 2
but 1
called 1
chapel 1
character 1
detective 1
discovered 1
disease 1
dr 1
elderly 1
examiner 1
eye 1
figure 1
first 1
fortyish 1
found 2
hansen 1
help 1
immediately 1
in 2
indian 1
involves 1
is 4
isles 3
it 1
jane 1
killings 1
little 1
main 1
maura 1
medical 1
meets 1
minor 1
more 1
murdered 1
mutilated 1
new 1
novice 1
nun 1
nuns 1
of 2
recognition 1
reveals 1
rizzoli 3
scene 1
seen 1
series 1
sinner 1
soon 1
summer 1
take 1
testing 1
than 1
that 2
the 8
there 1
these 1
to 6
victim 1
vows 1
when 2
young 1
