11515935
/m/02rgj65
/m/02rgj65
Jack Vance
1976
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 20
accepts 1
accompanies 1
accomplice 1
acquaintance 1
across 2
admit 1
admits 1
adulthood 1
after 1
afterwards 1
against 2
agent 1
ago 1
aid 1
all 2
allows 1
along 1
also 1
an 2
and 26
another 1
antagonize 1
are 2
arms 1
arrives 1
arrogant 1
as 6
asks 1
asserting 1
assignment 1
assistance 1
associates 1
attacked 1
away 1
awestruck 1
back 2
bandits 1
bark 1
became 2
become 2
becomes 1
been 2
before 1
begins 1
being 1
belligerent 1
breaking 1
brings 2
brother 2
but 1
by 5
cadmus 4
called 1
canceled 1
cantons 1
carrying 1
causing 1
certain 2
chief 1
city 1
claimed 1
clan 2
coarse 1
collapse 1
colonists 1
confrontation 1
construct 1
countryside 1
crashed 1
crisis 1
custody 1
daughter 2
day 1
deduced 1
discover 1
disdain 1
disguised 1
dissident 1
disturbed 1
divided 1
djan 3
do 1
down 2
droad 2
during 3
each 1
earlier 1
eiselbar 2
embarrassment 1
encircles 1
encounters 1
enemy 1
engagement 1
enough 1
escapes 2
escort 1
evasive 1
eventually 2
examination 1
exchange 1
exiled 1
fact 2
faction 2
facts 1
family 1
father 1
feet 1
fiance 1
fierce 1
fighting 1
finally 1
finds 2
first 1
follows 1
food 1
for 8
forced 1
forged 1
friend 1
from 2
gathers 1
gets 1
gives 1
glentlin 1
glint 2
glints 3
goes 1
greatly 1
group 1
had 3
has 5
he 15
head 2
hence 1
her 5
hever 7
high 1
him 4
his 17
horror 1
however 2
ignores 1
illegitimate 1
in 9
inducing 1
infers 1
informs 2
initiative 1
injure 1
insist 1
inspector 1
intelligence 1
intents 1
into 4
introduction 1
investigates 1
investigation 1
is 13
isolated 1
it 3
jubal 25
land 3
large 1
laws 1
leader 1
learns 2
lease 1
leaves 2
letter 2
long 2
looked 1
lowly 1
maintain 1
man 1
maske 2
masked 1
meet 1
members 1
men 1
mieltrude 7
minie 1
mircea 1
mistress 1
money 1
most 1
muchneeded 1
murdered 1
mute 1
mutual 1
nai 9
named 1
national 1
nationals 1
negotiating 1
nemesis 1
nonetheless 1
not 1
notorious 1
ocean 3
of 23
off 1
offdroad 1
offers 1
office 1
offworld 1
on 4
one 2
opinion 1
order 1
orthodox 1
other 2
others 1
over 1
own 2
passage 1
path 1
peninsula 1
physical 1
place 1
planet 3
plants 1
plotting 1
position 1
powerful 2
procures 1
progresses 1
prohibited 1
proof 1
proposal 1
prosperous 1
punishers 1
punishment 1
purchase 1
purely 1
purity 1
purpose 1
purposes 1
pursues 1
question 1
raise 1
raises 1
ramus 18
reach 1
recess 1
recognizes 1
recovers 1
recruits 1
reemerged 1
reject 1
rejected 1
religious 2
reluctantly 1
repairing 1
resorts 1
result 1
retired 1
return 1
revelation 1
revenge 1
rightful 1
rite 1
robbed 1
run 1
runs 1
sailing 2
same 1
sanitary 1
sea 2
secret 1
section 1
seeking 1
seeks 1
seemingly 1
seized 1
senior 1
seriously 1
servant 2
service 1
settled 1
settlers 1
several 1
severe 1
she 1
ship 3
shrack 3
signature 1
signing 1
so 1
soil 1
some 1
something 1
sovereignty 1
space 1
spends 1
spent 1
sprouts 1
still 1
stony 1
strangely 1
strength 1
subdued 1
subject 1
subjugated 1
sune 2
superior 1
support 1
survivors 1
take 1
takes 1
tending 1
thaery 5
thariot 1
thariots 1
that 11
the 55
their 4
them 2
they 5
though 1
three 1
to 28
took 1
tourist 2
traditionally 1
trail 1
training 1
travel 1
tree 1
treeworshipping 1
trewe 1
trying 1
twelve 1
uncle 2
uninterested 1
unpleasant 1
unwilling 1
unwittingly 1
upon 1
urgent 1
use 3
using 1
vacancy 1
vaidro 3
voyage 2
waels 5
wandering 1
wanted 1
wants 1
warning 1
warrant 5
was 3
weaken 1
weeks 1
wellas 1
were 2
what 1
when 2
where 1
which 2
with 6
without 1
worked 1
world 1
worlds 1
wysrod 2
yacht 1
yallow 1
ymph 2
ymphs 1
young 1
