1813784
/m/05z0sn
/m/05z0sn
Greg Bear
1993
a 14
abandoning 1
abandonment 1
aboard 1
accomplish 1
addition 1
additionally 1
after 1
alien 3
alienness 1
all 2
alliance 1
allowing 1
also 1
alternate 1
ambiguous 1
an 2
and 19
anvil 1
apart 1
appears 1
are 2
ariel 1
arthur 1
as 6
at 3
attempted 1
author 1
autocratic 1
aware 1
away 1
battle 1
be 4
bear 4
beauty 1
begins 2
better 1
between 4
book 2
braids 1
break 1
breathtaking 1
brothers 2
but 1
by 1
call 1
carried 1
characters 1
charles 1
childish 1
children 1
chosen 1
claim 1
classical 1
coerce 1
colossal 1
combined 1
come 1
complementary 1
complete 1
completion 1
complexity 1
complicit 1
composed 1
compromises 1
conflict 1
confrontation 1
consulting 1
contains 1
continued 2
conveys 1
cooperation 1
cooperative 1
cords 1
cost 2
create 1
created 1
creatures 1
crew 5
culture 1
decision 1
defenses 1
destroy 3
destroyed 3
destroying 1
destruction 1
dictatorial 1
die 1
differences 1
discovered 1
disintegration 1
dissent 1
does 1
doing 1
down 1
during 1
elements 1
enacting 2
escalate 1
eventually 1
explicit 1
explores 1
face 2
fact 1
fantasy 1
few 1
final 1
find 1
first 1
fleets 1
focal 1
for 1
forge 1
form 2
former 1
formidable 1
freedom 1
gestalt 1
god 1
gordon 2
guilt 1
had 3
half 1
hans 3
has 1
have 2
he 2
his 1
home 1
how 1
however 2
human 3
humanity 1
humans 1
hundreds 1
ideals 1
if 2
in 13
increasingly 1
individuals 1
initiates 1
innocents 3
inside 1
interlocked 1
interpretation 1
interwoven 1
into 1
is 13
it 5
job 2
join 1
just 1
justice 2
killers 5
later 1
law 3
layers 1
leader 3
leaders 1
leaves 1
libertarian 2
like 1
likely 1
little 1
looks 1
machines 1
main 1
manufacture 1
martin 1
matter 1
measures 1
moral 3
morality 1
more 1
much 1
murder 1
murdered 1
must 1
nature 1
nearly 1
nestling 1
nonhuman 1
nonsentient 1
not 2
notable 1
novel 4
number 1
of 28
once 1
one 1
or 1
original 1
other 1
out 1
overthrown 1
peeling 1
philosophical 1
place 1
point 1
population 1
possibly 2
power 1
presented 1
pressures 1
purpose 1
qualms 1
question 1
quite 1
race 2
races 6
referred 1
regulations 1
relief 1
representatives 1
required 1
resources 1
result 1
retaliation 1
revealed 2
revenge 1
rules 1
ruthless 1
scale 1
scope 1
second 1
selfreplicating 1
sense 1
sentient 2
served 1
ship 2
similarities 1
simple 1
society 1
son 1
stance 1
stars 1
start 1
still 1
story 1
stross 1
subtle 1
such 1
supporters 1
system 4
take 4
tear 1
technological 1
temporary 1
term 1
than 1
that 6
the 54
their 6
theme 1
themes 1
there 1
these 1
they 5
third 1
this 3
those 1
time 1
to 16
torn 1
tragedy 1
trillions 2
true 1
two 2
unity 1
unpleasant 1
value 1
vast 2
very 2
violent 1
voluntary 1
was 1
well 2
were 4
what 1
when 2
whether 1
which 1
while 1
who 2
wield 1
with 4
without 1
work 1
wormlike 1
would 1
wrestle 1
writer 1
you 3
