10100068
/m/02q1t05
/m/02q1t05
Nahoko Uehashi

a 6
accused 1
an 2
and 6
assassination 1
at 1
atone 1
balsa 2
be 1
becoming 1
begin 1
begins 1
being 1
bodyguard 2
bring 1
by 3
can 1
chagum 3
civilizations 1
come 1
complicated 1
connection 1
death 1
deaths 2
destroy 1
doom 1
drought 2
eight 1
emperor 1
empire 1
end 1
ensure 1
equivalent 1
evil 1
father 2
for 1
hand 1
has 3
he 1
her 2
his 5
holds 1
however 1
in 2
inhabitants 1
is 3
its 1
journey 2
kingdom 1
legendary 1
life 1
light 1
lives 1
mankind 1
must 1
mysterious 1
nature 1
new 1
number 1
of 5
off 1
on 1
ordered 1
own 2
past 2
perilous 1
piteous 1
possessed 1
power 2
prince 2
put 1
saves 1
saving 1
she 1
single 1
society 1
spearwoman 1
spell 1
spirit 2
stave 1
still 1
survival 1
tasked 1
the 9
they 1
thrall 1
time 1
to 10
two 1
uncover 1
vowed 1
wandering 1
warrior 1
water 1
when 1
who 1
with 2
