3097394
/m/08r72k
/m/08r72k
Judy Blume
1972
{"/m/03mfnf": "Young adult literature"}
a 8
about 1
act 1
after 2
an 1
and 9
anniversary 1
announces 2
anymore 1
are 1
arguing 1
at 1
away 2
b 1
back 1
be 2
before 3
believe 1
best 1
better 2
brother 2
but 1
by 1
cards 1
causes 1
class 1
comes 1
communicate 1
crumbling 1
day 2
days 1
decides 1
desperately 1
diary 1
discovered 1
divorce 2
do 1
does 2
each 1
end 1
entered 1
even 1
eventually 1
every 2
everyone 1
eyes 1
family 1
father 4
feigning 1
fight 1
fighting 1
file 1
finally 1
find 1
finds 1
for 1
from 1
get 3
getting 2
go 2
going 1
got 1
grade 1
grades 1
happening 1
happy 1
has 3
have 1
he 2
heartache 1
her 7
his 4
home 1
hopes 1
house 1
illness 1
in 5
including 2
into 1
involved 1
is 5
jeff 4
just 1
karen 7
las 3
led 1
like 1
little 1
love 1
make 2
marriage 1
married 1
marry 1
might 1
mother 3
moves 1
moving 1
never 1
next 1
nice 1
not 2
of 3
older 1
on 1
only 3
other 1
out 2
over 1
overjoyed 1
own 1
pain 1
parents 2
placed 1
plans 1
police 1
possibility 1
possible 2
rarely 1
remarry 1
restaurant 1
runs 2
see 1
seems 1
sending 1
shattered 1
she 9
situation 1
sixth 1
so 2
stays 1
stop 1
succeed 1
summer 1
teacher 2
that 8
the 13
their 1
then 1
there 1
they 3
things 4
though 1
to 15
tries 3
turned 1
unable 1
vegas 3
very 2
wanted 1
was 2
way 3
were 1
when 2
while 1
will 1
witch 1
with 1
world 1
worse 1
