3621668
/m/09qhrd
/m/09qhrd
Eleanor Arnason
1991-04
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 2
about 1
after 1
along 1
and 4
are 2
arriving 1
as 1
current 1
deals 2
derek 1
disagree 1
divided 1
factions 1
first 1
from 1
gifts 1
growing 1
her 1
how 1
humans 2
in 1
intervene 1
intervention 2
into 1
involvement 1
iron 1
is 2
journey 1
language 2
leave 1
life 1
lixia 1
location 1
meeting 1
meets 1
most 1
much 1
nia 1
novel 1
of 9
on 3
part 1
parts 1
people 1
pick 1
planet 3
policy 1
primarily 2
question 1
questions 1
raised 1
second 1
she 1
should 1
soon 1
sort 1
space 1
starts 1
still 1
the 15
their 1
they 1
to 2
trade 1
two 1
understanding 1
up 1
various 1
voice 1
waterfall 1
way 1
west 1
which 1
whom 1
with 3
woman 1
