221840
/m/01gcw4
/m/01gcw4
Agatha Christie

a 1
after 2
along 1
and 3
apprehended 1
are 1
aristide 2
arrested 1
assigned 1
assistant 1
attack 1
brenda 2
by 2
cannot 1
cared 1
charles 3
chief 1
chocolate 1
commissioner 1
danger 1
decades 1
detective 1
died 1
edith 1
escalates 1
eserine 1
exchanges 1
eye 1
family 1
father 1
fianc 1
finish 1
first 1
for 1
from 1
generations 1
grandchildren 1
granddaughter 1
has 1
hayward 1
her 1
his 4
hot 1
household 1
indolent 1
inside 1
inspector 1
investigates 1
is 4
josephine 1
junior 1
killer 1
leonides 1
letters 1
live 1
love 1
man 1
marry 1
medicine 1
nanny 1
narrator 1
of 2
old 1
own 1
patriarch 1
poisoned 2
scotland 1
second 1
since 1
sister 1
sly 1
so 1
sophia 1
suffers 1
surprise 1
taverner 1
tells 1
that 1
the 8
then 1
they 1
three 1
to 1
together 1
tutor 2
under 1
until 1
wealthy 1
when 1
wife 2
with 2
yard 1
