6872823
/m/0gtnd3
/m/0gtnd3
Lin Carter

{"/m/0dz8b": "Sword and sorcery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
adventurer 1
among 1
and 3
are 1
becomes 1
between 1
black 1
buccaneer 1
captain 1
chabela 1
chronologically 1
conan 4
embroiled 1
falls 1
fugitive 1
he 1
his 1
in 5
isle 1
kingdom 1
late 1
mixed 1
nails 1
nameless 1
now 1
of 4
on 1
one 1
politics 1
pool 1
princess 1
privateer 1
quest 1
red 1
rumored 1
seeks 1
sorcerer 1
stygian 1
the 14
thirties 1
those 1
thothamon 1
treasure 2
up 1
warrior 1
wastrel 1
when 1
zarono 1
zingara 1
