18951386
/m/0h53
/m/0h53
Ayn Rand
1957-10-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/026ny": "Dystopia"}
a 28
abandoned 1
about 2
abruptly 1
absent 1
accomplishments 1
acquainted 2
across 1
actions 1
addition 1
against 1
agencies 2
ahead 1
air 2
airfield 1
alive 1
all 2
alloy 2
also 3
among 1
amongst 1
an 5
and 27
announces 1
another 1
answer 1
answers 1
any 2
appears 1
appreciation 1
are 6
as 11
ask 1
associated 1
at 1
atlantis 1
atmospheric 1
attempts 1
avoid 1
aware 1
back 2
backed 1
be 3
because 1
become 1
becomes 2
been 4
begins 2
behind 2
betrays 1
bother 1
boyle 1
brief 1
brightest 1
bringing 1
broadcast 1
broadly 1
brother 2
build 1
business 3
businesses 2
businessnbsp 1
but 2
buy 1
by 9
called 1
can 2
capture 1
career 1
certain 1
challenges 1
childhood 1
choices 1
chooses 1
circumstances 1
citizens 1
city 2
claims 1
closes 1
collapse 1
collapsing 1
collectivism 1
commerce 1
common 1
company 6
competitors 1
complete 1
completed 1
completely 1
conditions 1
confiscate 1
continually 1
continue 1
control 2
controlling 1
conventional 1
converge 1
copper 2
crashlanding 1
creation 1
dagny 18
danconia 1
danger 1
decide 1
decisions 2
deeply 2
deifiednbsp 1
delaying 1
deliver 1
delivery 1
despite 2
destroying 2
destruction 1
developed 1
difficult 2
disappeared 1
disappearing 2
disappears 1
disappointed 1
discover 2
discovers 1
dont 2
drive 1
dry 1
during 1
each 2
economic 2
edition 1
efforts 2
electricity 2
ellis 2
empty 1
enforce 1
enterprise 2
especially 1
events 1
eventually 3
everanxious 1
everything 1
except 1
experience 1
explain 2
extent 1
factory 1
failure 1
fall 1
false 1
family 1
feelings 1
few 1
find 3
fire 1
first 2
flies 1
flown 1
flying 1
following 2
follows 2
for 6
force 2
former 1
found 1
founder 1
francisco 1
free 1
freed 1
freemarket 1
friend 2
friends 1
from 2
galt 9
genius 1
giant 1
give 1
given 1
go 2
goes 2
government 6
grandfather 1
great 1
group 1
guilt 1
gulch 1
hacks 1
hank 7
hardworking 1
has 10
have 5
he 7
heard 1
heavy 1
helpless 1
her 7
hidden 2
hide 1
high 1
him 5
hindered 1
his 5
important 2
in 19
incomplete 1
indication 1
individual 1
industrial 1
industry 1
initially 1
innovators 1
instructions 1
integrity 1
intentionally 1
international 1
into 5
inventor 2
irrational 1
is 13
it 4
its 2
james 1
jealousy 1
john 3
just 1
keep 3
kind 1
kindred 1
kinetic 1
king 1
laborer 1
largely 1
later 1
law 1
leaders 4
leads 1
learns 1
leaves 1
leaving 2
led 1
left 1
life 1
lights 1
like 1
lobbyist 1
long 1
love 5
lowly 1
loyal 1
made 2
magnate 1
make 2
makes 1
making 1
man 2
manipulative 1
mannbsp 1
many 1
marked 1
married 1
mass 1
means 1
meddling 1
members 1
men 5
message 1
metal 3
mission 3
moral 1
more 1
most 5
mother 1
motor 4
mouch 2
moved 1
mysterious 2
mysteriously 1
named 1
nation 2
national 1
nave 1
new 3
no 3
not 1
nothing 1
notice 1
novel 4
now 3
objectivism 1
obligation 1
of 26
off 1
office 1
often 1
oil 2
on 6
one 5
only 2
opens 1
operating 1
opportunity 1
or 2
order 1
organized 1
originally 1
orren 1
other 2
others 1
out 2
own 1
pages 1
people 2
people70 1
peripherally 1
petroleum 1
philosophy 1
phrase 2
pioneered 1
plain 1
plane 1
playboy 1
point 1
policy 1
politicians 1
popular 1
potential 1
powerful 1
preferring 2
preparations 1
president 2
pressure 1
prisoner 1
proceeds 1
productive 1
protagonist 1
proves 1
provides 1
purer 1
purpose 2
pushing 1
put 2
questions 2
quests 1
radio 1
rail 1
railroad 4
rand 2
rare 1
rather 1
ray 1
reader 1
rearden 5
reason 1
recent 1
recently 1
reciting 1
recruits 1
refers 1
refuses 1
reliable 1
repeal 1
rescue 1
response 1
responsibility 1
restore 1
result 1
return 1
reverseengineering 1
richest 1
romantic 1
ruins 1
runs 1
sacred 1
sarcastic 1
sarcastically 1
save 1
scenes 1
scientist 2
screen 1
search 1
secret 1
section 1
see 2
seems 1
selfmade 1
selfpossessed 1
series 1
serving 1
sets 1
she 5
show 1
sight 1
significance 1
similar 1
simply 1
sincere 1
so 1
society 1
sole 1
soon 1
soul 1
sparking 1
speak 1
speech 1
spewing 1
states 1
static 1
statism 1
steel 5
still 3
street 1
strike 1
strikers 1
strongest 1
subjects 1
subplot 1
subsequently 1
succeed 1
successful 4
such 1
suddenly 1
supervisor 1
system 1
taggart 3
taking 1
tend 1
than 2
that 6
the 63
their 7
them 3
theme 1
themselves 1
these 4
they 7
thin 1
this 4
thorough 1
those 2
through 1
thus 1
times 1
to 49
top 1
torch 1
toward 1
transcontinental 1
transform 1
transforms 1
trapped 1
troubles 1
true 1
turn 1
two 2
unable 2
under 2
unfolds 1
ungrateful 1
united 1
universe 1
up 1
uproar 1
use 2
used 1
utah 1
utterly 1
vacation 1
valley 2
vanished 1
vice 1
vital 1
warning 1
washington 1
watching 1
way 1
we 1
weary 1
well 1
wesley 1
what 2
when 1
where 5
wherein 1
which 3
while 6
who 8
whom 1
why 1
wife 1
will 2
with 9
within 1
without 1
woman 1
women 2
working 3
world 4
worsen 1
worthless 1
wyatt 4
yet 1
york 2
young 1
younger 1
