4607751
/m/0ccc6g
/m/0ccc6g
Pierre Boulle
1952
{"/m/098tmk": "War novel"}
16 1
a 4
adamant 1
against 1
aid 1
all 1
allies 1
also 2
among 1
and 6
announces 1
are 1
as 3
back 1
bangkok 1
be 3
because 1
between 2
both 1
boulle 2
boxes 1
bridge 5
british 1
but 1
by 1
camp 3
can 1
cannot 1
captives 1
captors 1
colonel 5
commanded 1
completed 1
connection 1
construction 4
convention 1
cooperate 1
day 1
decide 1
demand 1
demands 1
describes 1
destroy 1
distorted 1
do 2
down 1
duty 1
enemy 1
establish 1
eventually 1
examines 1
example 1
forces 1
friendship 1
geneva 1
hard 1
he 1
heat 1
his 8
how 1
however 1
in 5
including 1
individual 1
informs 1
integrity 1
into 1
iron 1
is 1
japanese 2
kwai 1
labor 2
lt 1
manual 2
marches 1
men 2
military 1
mistreatment 1
must 1
nevertheless 1
nicholson 9
of 15
officers 5
on 2
one 1
or 1
out 1
outside 1
ovensmdashsmall 1
over 1
patriotism 1
perfect 1
perfectionist 1
personal 1
pitted 1
placed 1
portrayed 1
pow 2
preservation 1
pride 1
prisoner 2
prisoners 3
professionalism 1
proud 1
race 1
railroad 1
rangoon 1
refusal 1
reiterates 1
relent 1
remains 1
required 2
response 1
river 1
sabotage 1
sacrifice 1
saito 7
satirical 1
sense 1
serves 1
sitting 1
snob 1
so 1
soldiers 2
story 1
strive 1
stubbornness 1
submit 1
superiority 1
symbol 1
that 4
the 24
their 2
they 1
this 1
through 1
to 12
tried 1
under 1
unwillingness 1
victorious 1
view 1
war 1
warden 1
was 1
which 1
while 1
who 1
will 3
with 1
work 2
