1278855
/m/04pmjt
/m/04pmjt
Peter Høeg
1992
{"/m/0lsxr": "Crime Fiction", "/m/014dfn": "Speculative fiction"}
37yearold 1
a 12
accident 1
accompanied 1
action 1
actually 1
affair 1
afoot 1
after 1
alcoholic 1
alive 1
all 1
allegedly 1
alone 1
also 1
alta 2
an 3
and 16
apartment 1
are 1
as 2
assume 1
at 1
attempts 1
authorities 2
away 1
be 2
because 2
befriends 1
begins 1
betrayed 1
board 1
body 1
braves 1
but 2
by 2
centred 1
certainly 1
chartered 1
chased 1
chases 1
child 1
christianshavn 1
complains 1
complex 1
compromised 1
conspiracy 2
convinces 1
copenhagen 2
crew 1
crewwho 1
danger 1
danish 1
death 3
deceived 1
deep 1
denmark 1
dependency 1
despite 2
died 1
discovers 2
discovery 1
diver 1
doggedly 1
dormant 1
dreary 1
during 1
embedded 1
encounters 1
ends 1
even 2
eventually 1
evidence 1
expedition 3
expeditions 1
explained 1
fall 1
father 3
fear 1
female 1
final 1
flashback 1
for 2
force 1
forced 1
found 1
fractured 1
friendship 1
from 3
frozen 1
gela 2
gets 1
gives 1
glaciated 1
glacier 1
greenland 1
greenlandic 1
guinea 1
had 4
has 1
have 1
he 5
head 1
held 1
her 8
here 1
heritage 1
him 3
his 3
home 1
hostility 1
however 1
hunter 1
hviid 2
icesense 1
in 14
infested 1
intimidation 1
into 1
intuitive 1
inuit 1
is 14
isaiah 5
isaiahs 4
island 3
isolated 1
isolation 1
it 3
itself 1
jaspersen 1
journey 1
killed 1
known 1
leader 1
learns 2
left 1
lethal 1
life 2
liked 1
linked 1
live 1
living 1
locationand 1
lonely 1
loner 1
long 1
meaning 1
mechanic 2
members 1
meteorite 1
meteorites 1
mysterious 2
neglected 1
neighbour 2
not 2
novel 2
now 1
obstruction 1
of 10
off 4
officially 1
on 7
one 1
onto 1
ostensibly 1
other 1
otherwise 1
out 3
parasite 2
pay 1
peter 2
physician 1
place 1
plans 1
playing 1
police 1
previous 2
product 1
pursues 2
qaaviqaaq 1
quickly 1
reach 1
real 1
really 1
recounted 1
related 1
repeated 1
return 1
revealed 1
rich 1
roof 4
sail 1
says 1
sea 1
secret 1
she 7
ship 4
smilla 8
smillas 1
snowy 1
some 4
something 1
son 1
sources 1
stewardess 1
stormy 1
struggles 1
sudden 1
surrounding 1
suspicion 1
takes 1
that 5
the 34
them 1
there 2
this 2
threats 1
to 13
too 1
tracks 1
tries 1
trk 2
truly 1
truth 1
turn 1
understanding 1
union 1
uniquely 1
untrue 1
urban 1
using 1
valuableperhaps 1
was 3
water 1
way 3
what 1
when 2
which 2
whilst 1
who 6
whom 1
with 5
working 1
worm 1
