5508711
/m/0dq1p9
/m/0dq1p9
Robert Cormier
1979
a 6
african 1
after 1
an 2
and 5
antibbe 1
antiterrorism 1
are 2
artkin 1
assumed 1
attack 1
back 1
be 2
begins 1
ben 2
bridge 1
brief 1
bus 4
but 1
by 2
camp 1
characters 2
child 1
children 1
could 1
country 1
death 2
describes 1
descriptions 1
drawnout 1
drive 1
driving 2
eastern 1
every 1
first 1
for 2
force 1
forth 1
four 1
free 1
from 3
full 1
general 1
group 1
high 1
hijacked 1
hijacking 1
homeland 1
include 1
is 4
it 1
kate 4
kill 1
main 1
middle 1
miro 3
mostly 1
named 1
never 1
of 9
old 1
one 2
or 2
other 1
point 2
police 1
railroad 1
school 1
sections 1
siege 1
some 1
son 1
specifically 1
story 1
stroll 1
student 1
summer 1
switching 1
terrorist 2
terrorists 5
the 15
their 2
threatening 1
to 5
told 1
view 2
when 1
where 1
which 1
working 1
worndown 1
written 1
