22044061
/m/05n_4fy
/m/05n_4fy
Peter Lerangis
2009-03-03
{"/m/0dwly": "Children's literature", "/m/08sdrw": "Adventure novel"}
3 1
a 10
ability 1
about 3
accompanied 1
actually 1
admire 1
adventure 1
after 2
again 2
agree 1
airport 1
al 1
alchemical 1
alistair 10
alkahest 1
all 1
already 1
also 5
amy 9
an 3
anagram 2
and 22
another 1
answers 1
appears 1
are 5
as 1
at 1
au 1
author 1
away 1
bae 3
be 1
before 1
being 1
betray 1
beyond 1
black 1
block 1
board 1
book 3
books 1
but 4
by 6
cahill 1
cahills 1
called 1
cave 2
chased 1
clue 4
clues 1
coin 2
continues 1
crushed 1
dan 10
dead 1
deal 1
decode 1
discovers 1
do 1
egypt 1
ends 1
entrance 1
estate 1
everyone 1
falling 2
family 1
figure 4
find 7
first 1
fly 1
for 3
forced 1
forces 1
fourth 1
geometric 1
geometry 1
give 1
gives 1
gloves 1
go 2
goes 1
gold 2
gomez 1
grave 1
greatest 1
haiku 1
has 2
have 2
he 5
helping 1
hideyoshi 3
him 1
hint 1
his 5
history 1
holts 1
house 1
ian 3
importance 1
in 13
inside 2
instead 1
into 3
introduced 1
is 8
isnt 1
it 4
japan 2
join 1
kabra 1
kabras 7
kidnap 1
killed 2
know 1
korea 2
kyrgyzstan 1
lake 2
later 1
lead 1
learn 1
library 1
little 2
location 2
look 1
looks 1
make 2
man 1
may 1
meet 1
message 2
mountain 2
natalie 1
nearly 2
nellie 2
next 4
no 1
of 8
office 1
oh 3
old 1
on 3
once 2
one 2
open 1
other 1
out 6
pages 1
pair 1
parts 1
philosopher 1
plan 2
plane 4
private 1
pukhansan 1
pulled 1
reading 1
realizes 1
receiving 1
rescued 1
returning 1
rocks 1
room 3
sakhet 1
says 1
search 1
secret 2
secretary 1
see 1
sees 1
shapes 2
should 1
sitting 1
small 1
some 1
son 1
starts 1
steal 1
stone 1
story 1
struck 1
suspects 1
talking 1
tash 2
team 1
tells 3
that 8
the 44
their 3
them 7
then 3
there 3
they 17
thinking 1
third 1
this 4
threatened 1
threatens 1
tickets 1
to 13
together 1
tokyo 1
tomas 1
toyotomi 1
train 1
treasure 2
tricked 1
two 2
uncle 2
under 1
up 1
upon 1
use 1
venice 1
warrior 1
was 2
wearing 1
well 1
when 2
where 1
which 2
who 2
will 1
with 8
word 1
words 1
writing 1
yakuza 1
