28417327
/m/0crj67d
/m/0crj67d
Rosemary Sutcliff
1976
across 1
after 2
agreed 1
alongside 1
an 1
and 14
anna 1
around 1
as 3
background 1
baltic 1
basil 2
being 1
belonging 1
between 1
blood 4
both 1
brotherhood 2
but 1
by 3
captured 1
carries 1
caught 1
childhood 1
christian 1
christianization 1
commitment 1
conflicting 3
constantinople 2
crew 1
cultures 1
denmark 1
depicts 1
dnieper 1
down 1
dublin 2
dvina 1
ended 1
englishman 1
enlist 1
father 1
feelings 1
feud 3
fight 1
fighting 1
finally 1
find 1
finds 1
firstperson 1
for 3
formed 1
frees 1
friends 1
good 1
guard 1
hand 1
has 1
he 5
him 1
his 4
historical 1
how 1
ii 1
in 7
into 1
is 6
jestyn 7
join 1
joins 1
journey 1
khan 1
kiev 1
kievan 1
killed 1
killers 1
leave 1
life 1
live 1
many 1
marriage 1
mixed 1
named 1
newly 1
norse 1
novel 2
of 8
off 1
original 1
orphaned 1
owner 1
paganism 1
pursue 1
raiders 1
recounts 1
religions 1
resolved 2
return 3
revolves 1
rus 1
service 2
set 1
settles 1
ship 1
sister 1
slavery 1
sold 1
story 1
struggle 1
swear 1
swears 1
system 1
takes 1
the 21
them 1
theme 1
they 2
thormond 5
to 7
told 1
turns 1
twists 1
ultimately 1
up 2
upon 1
value 1
values 1
varangian 1
viking 1
vladimir 1
when 1
where 1
which 1
who 1
with 1
youth 1
