2657171
/m/07vvb3
/m/07vvb3
Aaron Allston

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
abandon 1
absorbed 1
again 1
an 1
and 3
are 1
army 1
assigned 1
at 2
been 1
book 1
brevet 1
by 1
captain 1
command 1
creating 1
cripple 1
deeper 1
delves 1
depression 1
destroying 1
donos 1
droids 1
end 1
face 1
finding 1
flagship 1
force 1
forcing 1
from 1
general 1
given 1
group 1
han 1
has 1
heading 1
help 1
her 2
his 1
history 1
intelligence 1
into 2
is 4
just 1
lara 1
later 1
myn 1
new 3
newly 1
notsil 1
of 5
once 1
out 2
promoted 1
recovered 1
republic 3
rogue 1
saboteur 1
same 1
secret 1
seeking 1
she 1
solo 1
squad 1
squadron 3
task 1
tasked 1
that 1
the 11
they 1
this 1
though 1
time 2
to 5
transfers 1
up 1
warlord 2
who 2
with 1
would 1
wraith 2
zsinj 2
