3001381
/m/08jtcc
/m/08jtcc
Jim Crace
1997
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
2000 1
40 1
7 1
a 3
abdomen 1
ago 1
aiming 1
an 2
and 4
animals 1
aphas 1
at 1
attempt 2
badu 1
barren 1
be 3
believed 2
between 2
by 2
cancer 1
catching 1
characters 1
dawn 2
days 1
deaf 1
desert 1
dies 1
divine 1
during 1
dusk 2
end 1
fast 1
fasting 2
features 1
fertile 1
for 1
from 1
galilean 1
galileangallyjesus 1
good 1
greedy 1
hallucinationsvisions 1
help 1
her 1
his 1
in 4
it 1
judean 1
main 1
manifestation 1
marta 1
miri 1
musa 2
mute 1
nights 1
novel 1
of 1
only 1
plagued 1
pregnant 1
religiousspiritual 1
remove 1
risen 1
satan 1
seen 1
set 1
shim 1
the 6
to 6
trader 1
traveller 1
turn 1
wife 1
with 1
womb 1
years 1
young 1
