4634530
/m/0cdqff
/m/0cdqff
Okot p'Bitek

a 4
abandon 1
about 2
accepted 1
acoli 1
actions 1
advocates 1
african 5
all 2
alone 1
also 2
although 1
an 2
and 5
any 1
apparent 1
appeal 1
appreciates 1
as 4
ballroom 1
be 2
beautifulhowever 1
becomes 1
been 1
bemourns 1
black 2
blackthis 1
book 1
brush 1
but 1
by 6
castigates 1
christianity 1
clementine 2
colonialists 1
colonising 1
concern 1
culture 5
customs 1
dance 1
dances 1
described 1
describes 1
desire 1
disturbs 1
does 1
educated 1
elitelawino 1
engages 1
europeans 1
example 1
extended 1
fact 1
fascination 1
favor 1
for 1
from 2
goes 1
great 1
has 3
have 1
he 1
her 2
herself 1
his 4
how 1
husband 2
illustrated 1
in 3
interest 1
introduced 1
is 12
it 2
lack 1
lawino 8
leader 1
longer 1
loss 1
lost 1
most 1
narrative 1
new 2
no 1
noted 1
ocol 7
of 10
on 2
or 1
own 1
pagans 1
paints 1
part 1
poem 2
polygamy 1
prefer 1
pride 1
ritualistic 1
romanticize 1
said 1
says 1
sentimental 1
she 1
should 1
shunning 1
society 1
son 1
song 1
specific 1
stay 1
style 1
taken 1
text 1
that 5
the 18
their 1
this 2
to 7
treatment 1
tribal 1
tribe 1
true 1
western 1
what 1
which 2
white 1
whitethe 1
who 1
widely 1
wife 2
with 3
woman 1
