33355795
/m/0h7mwxr
/m/0h7mwxr
Rick Riordan
2012-10-02

1st 1
5 1
8 1
a 43
able 2
about 4
achelous 1
acquired 1
actually 2
admits 1
afflection 1
after 10
again 4
against 3
ago 2
agree 1
agrees 1
aids 1
air 2
all 4
allow 1
almost 2
along 3
already 1
also 6
amazed 1
an 8
and 75
angel 3
angelo 4
angry 1
ankle 1
annabeth 35
announces 1
any 3
aphroditevenus 1
aphros 1
apologize 1
apparition 2
appear 1
appeared 2
appears 2
aquarium 2
arachne 2
are 11
argo 9
arion 1
arts 1
as 24
asks 4
asleep 1
at 8
athena 6
atlanta 1
atlantic 1
attached 1
attack 1
attacked 1
attacking 1
attacks 1
awaken 1
away 2
awkward 1
baby 2
bacchus 3
back 6
backup 1
barely 1
basket 1
battle 1
battled 1
battling 1
be 14
because 1
been 3
before 4
begins 2
behalf 1
behind 2
being 3
believed 1
belong 1
below 1
belt 1
best 1
better 1
bid 1
bit 1
blackjack 2
blasted 1
blood 1
boarded 1
body 1
both 4
boundaries 1
break 1
breath 1
bronze 2
brothers 1
bully 1
but 5
by 19
bythos 1
cabin 1
calm 1
camp 5
campers 1
can 2
cant 1
cape 1
captive 1
carry 1
case 1
catch 1
catches 1
caught 2
causing 1
celestial 2
championships 1
changes 1
charleston 1
charmspeak 1
chase 2
chill 1
chills 1
chiron 1
claims 1
close 1
coach 5
come 1
comforts 1
conferred 1
conflicting 1
confronted 1
congratulates 1
consorting 1
consuming 1
contents 1
continue 1
continues 1
control 1
convicing 1
cookie 1
cookies 1
cornucopia 2
could 4
counterpart 1
crack 1
cracked 1
creatures 2
crept 1
crew 1
crippiling 1
crossed 1
crying 1
cuddling 1
cursed 1
cut 1
d 1
dagger 2
damaged 1
daughter 1
day 3
days 2
deal 1
death 3
decide 1
decided 1
decides 1
deciding 1
demigod 1
demigods 4
described 1
desired 1
despite 1
destination 1
di 3
diamond 3
did 1
died 1
disappeared 1
disbelief 1
discover 1
discovered 1
discovers 1
discussion 1
do 1
does 1
dome 1
doors 3
double 1
down 1
dream 2
drowned 1
due 2
during 3
each 5
earlier 2
echo 2
effects 1
efforts 1
eidolens 1
eidolons 3
ella 1
encounter 2
encountered 1
enemies 1
entrance 1
ephialtes 2
escape 4
escaped 1
escaping 1
escort 1
every 1
everyone 1
evidence 1
evil 1
explosion 1
eyes 1
face 1
failed 1
fall 3
falls 2
fanning 1
favorite 1
fearful 1
feeling 1
felt 1
festus 1
fight 1
fighting 1
figure 1
final 1
finally 2
find 4
finding 1
finds 2
firing 3
first 2
fish 1
floor 1
flying 2
following 1
for 20
force 2
forced 1
forces 1
form 1
fort 1
fortune 1
forum 1
found 2
frank 8
friends 3
from 14
fulfils 1
full 1
fumes 1
further 1
gaea 1
garden 1
gather 1
gave 1
generations 1
getting 1
giant 1
giants 1
gives 1
gleeson 1
go 1
god 4
goddess 1
gods 1
goes 1
gold 1
good 1
goodbye 1
grace 1
gravely 1
great 1
greatgrandfather 1
greece 1
greek 5
grip 1
ground 1
grounds 1
grumbles 1
had 12
hades 1
half 1
halfblood 1
hand 4
handing 1
hands 1
has 2
have 6
having 1
hazel 23
he 27
head 3
headaches 1
headed 1
heads 1
hears 1
hedge 6
heir 1
held 1
hell 1
hello 2
help 2
her 36
hera 1
hercules 3
heroes 1
herself 1
hill 1
him 13
hinted 1
his 10
hold 2
holding 2
honor 1
hoped 1
hopes 1
horn 1
horns 1
horrible 1
horse 2
house 2
hovering 1
how 2
however 5
hue 1
humanoid 1
i 1
ichthyocentaurs 1
if 6
ii 9
impertinence 1
implied 1
implored 1
impossible 1
in 24
including 1
infuriated 1
inhabit 1
injury 1
inside 2
instead 1
interrupts 1
into 5
introducing 1
invisible 1
is 26
isnt 1
it 11
italian 1
item 1
its 1
jackson 1
jar 3
jason 16
judoflips 1
july 1
jupiter 3
just 1
kansas 1
keep 4
keeps 1
kept 1
keto 2
killing 1
kisses 3
knew 1
knocked 2
knocks 1
ladder 1
lake 1
land 2
landed 1
landmarks 1
later 1
lead 1
leads 1
leave 2
leaves 2
led 1
ledge 2
legion 1
legs 1
leo 25
let 1
levesque 2
life 2
lifetime 1
like 1
line 3
lines 1
local 1
location 2
long 1
longer 1
look 1
looked 1
looking 1
looks 1
love 1
luck 1
lunch 1
made 1
make 1
makes 3
making 1
male 1
manage 2
managed 1
manages 3
managing 1
many 1
map 3
marine 1
mark 2
martial 1
material 1
mclean 1
me 1
means 1
mediterranean 1
medusa 1
meet 1
meeting 1
mentioned 1
mentions 1
mind 1
minerva 1
mirror 1
missed 3
mixed 1
monster 2
monstrosity 1
month 1
months 1
mortal 1
mother 2
mr 1
much 2
mysterious 1
narcissus 4
nearly 1
neck 1
needed 1
nemesis 3
nereids 1
never 5
new 3
next 2
nico 6
no 1
nonsense 1
not 5
now 2
nymphs 1
ocean 1
of 44
offense 1
offering 2
old 1
on 17
once 1
one 2
only 2
opening 1
or 3
orange 1
orders 1
other 8
others 1
otis 2
out 13
over 4
overboard 2
owing 2
own 1
part 2
parthenos 1
party 1
passing 1
past 1
peering 1
per 2
percy 26
perfect 1
permission 1
persephone 1
phorcys 3
piper 12
pirates 1
pit 2
plans 1
plea 1
pointed 1
poisonous 1
pomegranate 1
pomerian 2
possessed 1
practiced 1
praetor 1
pray 1
prepare 1
prepared 2
prepares 1
present 1
previous 1
promised 2
promises 1
prophecy 1
pull 1
purple 2
puts 1
putting 1
quest 1
question 1
quickly 1
ramble 1
reach 3
ready 2
realises 2
reason 1
received 1
recent 1
recognizes 2
referring 2
reflection 1
regain 1
reinforcements 1
release 2
releases 1
remained 1
remaining 2
reminded 1
repair 1
repairs 1
requestdemand 1
required 1
reruns 1
rescue 2
residing 1
retrieving 1
reunites 1
reyna 2
rhea 1
river 2
roman 5
romans 5
rome 7
rope 1
rule 1
rules 2
rush 1
said 1
sail 1
sails 1
salt 1
same 2
sammy 13
save 1
saved 2
saw 2
saying 1
says 3
scandalized 1
scandalous 1
scene 5
school 1
search 1
searches 1
see 1
seeds 2
seeks 1
seemed 1
sees 1
sell 1
senate 1
send 2
separate 1
separated 1
set 2
seven 1
severely 1
sharing 1
