664294
/m/030yt7
/m/030yt7
Daniel Handler
2000-08-31
{"/m/039vk": "Gothic fiction", "/m/02n4kr": "Mystery", "/m/06www": "Steampunk", "/m/05hgj": "Novel", "/m/0pym5": "Absurdist fiction"}
a 22
about 5
administrative 1
advanced 1
after 1
again 1
all 2
along 2
also 2
an 3
and 33
announces 1
annoying 1
another 2
any 1
are 12
around 1
arrives 1
arrogant 1
as 9
assistant 1
assistants 2
at 7
attempt 2
attend 1
auditorium 1
away 3
babies 1
bag 1
bags 1
bananas 1
bass 2
baudelaire 15
baudelaires 1
be 7
because 3
become 1
becomes 1
been 2
before 3
begins 1
being 2
board 1
book 1
books 1
both 1
brother 1
brought 1
but 5
buy 1
by 3
cakesniffers 1
calls 1
can 2
candy 3
cannot 1
cant 1
canteen 1
captured 1
car 1
carmelita 4
caught 1
cheating 1
children 3
circle 2
class 1
close 1
coach 9
come 1
comes 1
commonplace 1
competent 1
comprehensive 1
computer 1
concert 3
concerts 1
considers 1
count 5
countless 1
couplets 1
crab 1
crabs 1
crawling 1
creamed 1
daily 1
day 2
days 1
decide 1
deliver 1
delivers 1
demands 1
device 1
die 1
died 1
discovered 1
disguise 3
disguises 1
do 2
doesnt 2
door 1
dormitories 1
down 2
dripping 1
drive 1
drop 1
dull 1
duncan 3
duty 1
each 2
earrings 2
eat 1
eating 1
else 1
eludes 1
end 1
enemy 1
enormous 1
enters 1
every 1
exams 1
exercises 2
exhausted 1
expelled 1
explains 1
extrahard 1
fact 1
failing 2
find 1
fine 1
fire 1
fired 1
flour 2
food 1
fooled 1
for 6
forced 1
fork 1
form 2
fortune 1
friends 1
from 1
front 1
fungus 1
genghis 12
genius 1
get 1
girl 1
give 3
gives 1
go 5
going 2
good 1
green 1
grounds 1
guardian 1
had 1
happened 1
has 2
have 7
hay 1
he 13
hearts 1
henchmen 1
her 1
him 6
himself 1
hints 1
his 6
horrible 1
hours 1
how 1
however 1
if 1
immediately 1
in 9
into 1
introduced 1
invents 1
is 7
isadora 2
it 5
journalist 1
keep 2
kick 1
kidnapping 1
klaus 8
know 1
known 1
ladies 1
laps 1
large 1
lawn 1
leave 1
left 1
legs 1
lengthy 1
like 2
listen 2
longer 1
look 1
lots 1
loud 1
luminous 1
lunch 3
make 1
makes 4
man 1
manage 1
masks 3
mean 1
measure 1
measurements 1
meet 3
memento 1
message 2
metal 3
metric 2
missing 1
mocks 1
mori 1
morning 2
motto 1
mr 6
mrs 2
must 3
nero 9
next 3
night 3
nine 2
nonetheless 1
notebooks 5
notes 1
notice 1
notions 1
objects 1
obnoxious 1
observations 1
obsesses 1
of 16
office 2
olaf 7
old 1
on 5
one 1
or 3
orphan 2
orphans 22
out 3
outside 1
over 1
paint 1
papers 1
parental 1
parents 1
particularly 1
permission 1
pink 1
placed 1
plan 1
play 1
playing 1
plays 1
plot 1
poe 4
poet 1
potato 1
prep 3
preparatory 1
pretend 1
principal 7
prufrock 4
punishment 2
quagmire 2
quagmires 9
quigley 1
read 1
reads 1
recitals 1
recognize 1
reluctantly 1
remark 1
remember 1
remora 2
remove 2
represent 1
rescued 1
rest 1
result 1
reveal 1
revealed 1
rods 1
rude 1
ruler 1
rules 1
run 1
running 2
runs 2
rush 1
sack 2
sapphires 1
says 1
school 3
schools 1
see 3
serve 1
shack 5
she 4
short 2
shoving 1
similar 1
sit 1
situation 1
six 1
sleep 1
small 1
so 2
soon 1
sore 1
spats 3
special 1
spinach 1
stack 1
stand 1
staple 1
staplemaking 1
staples 3
start 1
steals 1
stories 1
stronger 1
students 3
study 2
stupid 1
substituted 1
succeeds 1
suffers 1
sundown 1
sunny 8
system 2
take 1
taken 1
teacher 2
teachers 1
tell 4
tells 6
test 1
tests 2
that 21
the 70
their 9
them 10
themselves 2
then 7
there 1
they 27
thinks 1
this 1
time 4
tin 1
to 34
too 1
triplets 1
try 2
trying 1
tutored 1
two 3
unable 1
uncovers 1
understands 1
unfortunately 1
unless 1
unmask 1
unusual 1
unworthy 1
use 1
using 1
very 1
vfd 1
vice 7
violet 7
violin 5
wallpaper 1
watch 1
way 1
well 3
were 1
what 1
when 2
where 2
which 2
while 2
whitefaced 1
who 2
will 5
with 11
women 2
work 1
would 1
write 1
writes 1
yells 1
you 1
