12464
/m/038kg
/m/038kg
Snorri Sturluson


a 6
able 1
about 2
after 1
all 2
also 1
an 1
and 11
argued 1
arrives 1
as 4
asgard 1
asking 1
asks 1
aspect 1
be 2
being 2
but 1
by 3
call 1
can 1
challenged 1
christian 1
comes 1
context 1
creation 1
custom 1
destruction 1
device 1
document 1
done 1
each 1
empty 1
encounters 1
end 1
finds 1
for 1
gangleri 3
goddesses 1
gods 2
great 1
ground 1
gylfaginning 1
gylfi 5
he 6
high 2
himself 1
his 2
if 1
implied 1
in 3
inside 1
introduces 1
is 8
it 2
its 2
journeys 1
just 1
justashigh 2
king 3
land 1
largely 1
left 1
made 1
magic 1
man 1
many 1
means 1
men 2
mythology 1
name 1
narrative 1
nation 1
norse 2
now 1
of 8
on 2
one 1
or 1
oral 1
other 1
palace 4
people 1
place 1
question 1
questions 1
ragnark 1
retells 1
returns 1
safely 1
sagas 1
show 1
sir 2
snorri 1
so 1
some 1
standing 1
story 1
sweden 1
taken 1
tales 1
tells 1
that 3
the 17
their 1
then 3
third 2
this 2
three 1
to 7
told 1
tradition 1
tricked 2
tricks 1
upon 1
use 1
used 1
vanish 1
vanishing 1
was 1
way 1
where 1
who 2
why 1
will 1
wisdom 1
within 1
wonders 1
world 1
