3335770
/m/096fxh
/m/096fxh
Cecily von Ziegesar
2005
{"/m/03mfnf": "Young adult literature"}
a 17
about 8
academy 1
accepts 2
accidentally 2
administrators 1
admit 1
admits 1
adorable 1
advances 1
advisor 2
affair 1
affections 1
after 6
afterwards 1
against 1
agrees 2
all 2
allowed 1
allows 1
almost 1
alone 2
along 2
already 2
also 2
although 1
an 4
and 44
angry 1
announcing 1
annoyed 1
any 1
apartment 1
are 8
around 1
art 1
artist 1
artsy 1
as 10
at 10
attempts 1
attraction 2
away 1
awhile 1
back 4
backlash 1
barcelona 1
bathroom 1
be 5
becomes 3
becoming 1
bed 1
been 3
begs 1
behind 1
being 4
believing 1
belong 1
between 2
billard 1
blame 1
blissfully 1
book 1
boy 1
boyfriend 2
boys 1
brags 1
brandon 3
break 1
breaks 2
brett 16
briefs 1
brought 1
brushes 1
buchanan 1
bumps 1
but 15
by 2
called 1
callie 24
calllie 1
campus 3
carmichael 2
caught 2
celebrate 1
celebrates 1
celine 2
chapel 2
charmingly 1
cheer 3
child 1
chooses 1
city 1
class 1
clothes 1
club 1
cocaptain 1
colista 1
comes 1
comment 1
comments 1
computer 1
confronts 1
constance 1
conversation 1
convinced 1
convinces 1
could 1
couple 1
crush 1
crushed 1
dalton 9
dating 1
day 3
dean 1
debut 1
decides 2
declared 1
delight 1
desperate 1
despite 2
deteriorating 1
didnt 1
dinner 1
disciplinary 3
discovered 1
dismay 1
dismayed 1
distance 1
do 1
does 3
dollar 1
dorm 3
dorms 1
down 1
dream 1
drinking 1
due 2
dumbarton 1
dump 1
e 2
each 5
eager 3
early 1
easy 28
either 1
elated 1
embarrassed 2
embarrassing 4
endearing 1
ends 1
england 1
enough 1
enrolls 1
equally 1
eric 4
error 1
escape 1
especially 1
even 2
expecting 1
expelled 3
explanation 1
extreme 1
facing 1
fact 2
fast 1
father 1
fears 1
feelings 3
feels 2
ferro 4
field 3
fight 2
finds 2
first 1
fit 1
fix 1
flirt 1
for 13
forced 1
found 2
friend 1
friends 1
from 5
frustrated 3
fulfill 1
full 1
future 1
games 1
get 5
getting 2
girls 3
go 5
gone 1
gossip 1
got 1
graduated 1
grill 1
groups 1
growing 1
guilty 1
had 3
hall 1
handsome 1
has 5
hates 1
have 2
having 1
hazing 2
he 9
hearing 3
heath 9
heavy 1
held 1
her 38
herself 1
him 9
his 10
hit 1
hitting 1
hockey 3
home 1
hopelessly 1
hopes 1
hot 1
how 1
however 1
hungover 1
husband 1
if 2
in 22
incident 1
inconsiderate 1
initially 2
insists 1
interested 1
interrupted 1
interrupts 1
into 4
invitation 1
invites 2
is 30
it 4
its 1
jenny 41
jeremiah 4
jersey 1
join 1
joined 1
joins 1
just 1
kicked 1
kiss 1
knocks 1
known 1
knows 1
lap 1
lash 1
late 1
later 1
leave 1
leaves 5
legacy 1
less 1
let 1
library 1
lies 1
life 2
likewise 1
located 1
lose 1
love 2
loved 1
lucius 1
luggage 1
mail 1
make 3
makes 1
making 1
manages 1
manslut 1
marymount 1
match 2
matter 1
meanwhile 1
meet 2
meeting 2
meets 2
message 1
messerchimdts 1
messerschmidt 1
metrosexual 1
mistakenly 1
money 1
more 2
mortified 1
mortimer 1
most 3
mr 4
much 1
new 10
next 3
night 1
not 8
notorious 1
nouveau 1
objects 1
occupies 1
of 18
off 3
old 2
on 11
one 3
only 1
other 4
others 1
out 7
outcome 1
over 2
own 1
pardee 3
parents 1
paris 1
participates 1
party 3
passes 1
passion 1
past 1
performs 1
plan 2
planning 1
play 1
playing 1
pleased 2
pleasure 1
popular 3
posh 1
possibly 1
practice 1
prank 1
pressures 1
previous 1
problem 1
promised 1
pulling 1
punished 2
pursue 1
quickly 10
rare 1
reach 1
realize 1
realizes 2
realizing 1
rebuffs 1
recapture 1
receive 1
receives 1
reciprocate 1
refusing 1
regulations 1
reinvent 1
relationship 4
relieved 1
reputation 1
resolved 1
rest 2
retrieves 1
return 1
returns 1
revealed 1
rich 1
rise 1
ritual 2
rocky 1
romantic 1
room 6
roommate 2
roommates 2
rooster 1
rules 1
ruse 1
rut 1
say 1
scheme 1
school 3
scrimmage 1
secret 1
secretly 1
seduce 1
seeing 1
seemed 1
seems 1
select 1
sent 1
separately 1
sex 2
she 11
simply 1
since 1
situation 1
skeptical 1
sleep 1
sloppy 1
slowly 1
snitched 1
so 1
sold 1
some 1
sophomore 1
sort 1
spending 1
spills 1
st 1
start 1
stealing 1
still 2
stop 1
story 2
strangely 1
stripper 1
student 2
summer 1
supervisor 1
surprised 2
suspecting 1
suspicious 1
swirling 1
tacky 1
take 1
taken 1
takes 1
talk 2
target 1
team 4
tempted 1
tendencies 1
tensions 1
than 2
that 7
the 68
their 6
them 1
then 2
there 1
therefore 1
third 1
this 1
though 2
three 2
tinsley 9
tired 1
to 55
together 1
told 1
too 2
took 1
tries 2
triple 1
trouble 2
trust 1
try 1
trying 1
turn 1
turns 1
two 6
unaware 6
unsophisticated 1
unsure 2
untrustworthy 1
up 6
upstate 1
used 1
vacation 1
vernon 1
via 1
view 1
virginity 1
visiting 1
voice 1
walks 1
walsh 1
waning 1
wanting 2
warn 1
wary 1
was 6
waverly 5
way 1
were 1
what 1
when 9
where 1
while 2
who 9
whole 1
will 3
with 22
worldly 1
would 2
year 4
york 2
