20067619
/m/04y6ty1
/m/04y6ty1
Mohammed Hanif
2008-05-20
11 1
177 1
188 1
a 5
about 1
addition 1
after 2
aid 1
air 2
aircraft 2
ali 1
although 1
ambassador 1
and 3
apparently 1
are 1
army 1
arnold 1
bahawalpur 1
before 1
behind 1
book 2
by 1
c130 1
central 1
claimed 1
conspiracy 1
contact 1
control 1
convinced 1
crash 1
death 2
designated 1
develops 1
erratically 1
exploding 1
eyes 1
father 1
fictitious 1
flying 1
for 2
force 1
from 1
general 4
generals 1
had 1
he 1
head 1
herbert 1
hercules 1
himself 1
his 2
impact 1
in 5
is 2
it 1
junior 1
killed 1
killing 1
later 1
left 1
life 1
loses 1
m 1
many 1
military 1
mission 1
narrator 1
nosediving 1
of 5
officer 1
on 1
one 1
orchestrated 1
other 1
pak 1
pakistan 4
pakistani 1
parade 1
plane 2
president 1
prior 1
punjabi 1
raphel 1
real 1
revenge 1
ruled 1
saw 1
seeks 1
senior 1
several 1
shigri 1
shortly 1
small 1
smooth 1
story 1
suicide 1
takeoff 1
tank 1
the 17
theme 1
theories 1
there 1
through 1
to 5
tower 1
town 1
us 2
was 2
wassom 1
which 3
who 2
with 1
witnesses 1
witnessing 1
years 1
zia 5
