29757446
/m/0b6nfb4
/m/0b6nfb4
Beatrix Potter
1906
{"/m/0dwly": "Children's literature"}
a 5
about 1
and 5
bag 1
bangs 1
believes 1
bread 1
cat 3
come 1
crumbs 1
dessert 1
down 1
drink 1
drinks 1
drops 1
eat 1
eats 2
for 3
free 1
gives 1
had 1
he 2
head 1
her 3
herself 1
him 1
in 1
invites 1
it 1
jug 2
kitchen 1
last 1
later 1
leaves 3
milk 3
muffin 2
not 1
of 2
only 2
over 1
paper 1
party 1
pat 1
puts 1
raises 1
rat 6
she 4
sips 1
slips 1
some 1
tea 3
the 13
to 3
unable 1
when 1
will 1
wishes 1
