15922234
/m/03qgt7z
/m/03qgt7z
Gordon Korman
2006-03-28
18 1
a 5
adventures 1
after 1
an 2
as 2
at 1
band 1
be 1
because 1
bernie 2
biological 2
book 1
but 1
caraway 1
centers 1
chooses 1
classmate 1
considered 1
convince 1
cousin 1
discovers 2
even 1
exam 1
fact 1
father 4
for 2
further 1
giving 1
group 1
harvard 2
has 1
he 7
help 2
his 6
however 1
in 2
instead 1
is 7
it 1
joins 1
king 2
leo 4
life 1
maggot 6
man 2
many 1
marion 1
mcmurphy 1
member 1
money 1
name 1
named 1
not 3
novel 1
of 2
old 1
on 3
pay 1
pays 1
point 1
punk 1
purge 1
real 1
republicans 1
revoked 1
roadie 2
rocker 1
scholarship 1
school 1
teen 1
that 3
the 5
thinks 1
this 1
though 1
to 5
tuition 2
unfit 1
university 2
until 1
up 1
working 1
x 1
year 1
young 1
