612933
/m/02wkk_
/m/02wkk_
Fred Gipson
1956
1860s 1
a 3
adopts 1
an 3
and 5
arliss 2
at 1
attached 1
back 1
become 2
becomes 1
brother 1
but 1
by 1
care 1
cattle 1
coates 1
comes 1
cook 1
death 1
defending 1
dog 5
dogs 1
drive 1
end 1
eventually 1
exceptional 1
exposed 1
family 5
father 1
first 1
for 3
forced 1
friend 1
friends 1
from 1
get 2
goes 1
great 1
grows 1
had 1
has 1
health 1
helps 1
his 4
homecooked 1
in 2
infected 1
initially 1
is 3
it 1
left 1
loathes 1
looking 1
love 1
meal 1
mongrel 1
mother 2
named 1
nurse 1
occasions 1
of 4
off 1
old 5
on 2
one 1
over 1
owner 2
prepared 1
proves 1
puppies 1
puppy 1
rabies 1
ranch 1
rascal 1
recognizes 1
reluctantly 1
rid 1
rightful 1
saving 1
several 1
shoot 1
shows 1
stay 1
take 1
that 1
the 14
they 2
this 1
though 1
to 9
trades 1
travis 8
tries 1
try 1
uninvited 1
up 1
when 1
while 2
who 1
with 3
wolf 1
worth 1
yeller 8
yellow 1
young 1
younger 1
