8810676
/m/027kkmz
/m/027kkmz
Margie Palatini
1998
a 20
again 2
all 2
also 1
an 1
and 24
around 3
as 1
asked 3
at 5
ate 1
barked 1
baseballs 1
be 1
because 1
began 1
being 1
believed 1
bicycle 1
big 1
bird 1
bit 1
blue 1
boring 1
bright 1
but 3
called 2
calling 2
calls 1
changed 1
cheese 4
cheeseburger 1
chicken 1
chili 1
chocolate 1
come 1
continued 1
cook 1
cookie 2
cooking 1
counter 2
covered 1
curlicue 1
curls 1
day 2
deluxe 1
dessert 1
didnt 1
doesnt 1
dog 1
dogs 1
down 1
drink 3
drinking 1
eat 5
eating 2
em 1
enter 1
every 2
excludes 1
face 2
finally 1
first 1
food 1
foods 1
for 1
french 1
fries 1
frilly 1
frizzy 1
fry 1
george 9
get 2
gone 2
got 1
groaned 2
grumbled 2
had 2
ham 3
hamburger 1
hamburgers 1
hand 1
hat 1
have 3
having 2
he 12
her 2
high 1
hill 1
him 7
himself 1
his 15
hot 1
if 1
imagination 3
in 6
into 1
is 2
it 8
its 1
kitchen 2
lights 1
like 1
line 1
lined 1
linoleum 1
looked 1
lou 8
lunch 2
made 4
make 1
meatballs 1
mind 1
mother 10
mountain 1
mumbled 2
nachos 1
name 3
named 2
neon 1
next 2
not 2
nothing 1
of 9
on 3
one 1
only 2
or 1
ordered 4
ordering 1
ornery 2
out 2
pale 1
pickles 1
pile 1
pins 1
pizza 1
place 1
plus 2
pocket 1
pound 1
purple 1
raised 1
red 2
restaurant 4
room 1
said 2
sandwich 8
sat 1
say 1
see 2
she 2
should 1
sign 1
size 2
skids 1
skinnies 1
skips 1
some 1
spaghetti 2
stairs 1
stared 1
superduper 1
teeny 1
that 16
the 19
their 1
them 1
then 11
there 6
they 4
this 1
thought 2
time 1
tiny 1
tires 1
to 16
told 3
tripledecker 1
tub 1
turned 1
two 2
uniform 1
up 3
vanilla 2
very 1
waitress 1
want 2
wants 2
was 14
were 4
what 1
when 3
whenever 1
whether 2
which 1
while 1
with 6
would 1
written 1
yucky 2
zak 24
ziggies 1
