30688502
/m/0g9t9xw
/m/0g9t9xw
James Doohan

a 10
aboard 1
acts 2
after 2
agent 1
alien 1
allies 1
an 7
and 9
antihydrogen 2
are 1
artificially 1
as 6
assigned 1
assorted 1
aware 1
basis 2
battle 1
becomes 1
becoming 1
been 1
begins 1
being 1
between 1
book 1
cannot 1
carrier 3
chief 1
civilization 1
commander 1
common 1
commonly 1
commonwealth 3
conflict 3
create 1
csf 1
delicacy 1
design 1
destroyed 1
device 1
devices 1
difficult 1
discovered 1
drastically 1
during 1
dwindling 1
easily 1
ecclesia 1
end 1
energy 1
engineer 1
engineering 1
entire 1
even 1
events 1
experienced 1
extremely 1
extremist 1
fast 2
fibians 1
fighter 2
final 1
fleshandblood 1
for 6
formerly 1
from 1
galaxy 1
group 1
groups 1
had 1
hand 2
hands 1
has 1
have 2
high 1
hightech 1
hopes 1
ids 1
in 3
indistinguishable 1
injuries 1
injury 1
interface 3
inuniverse 1
invincible 1
involving 1
is 4
known 1
later 1
launch 1
life 1
link 1
lived 1
long 1
losing 1
lost 1
make 1
manages 1
manufacture 1
match 1
media 1
mission 1
missions 1
mollie 1
mollies 3
more 1
naturally 1
new 1
obtainable 1
of 11
on 2
otherwise 2
outfitted 1
particle 1
performing 1
peter 1
pilot 4
piloting 1
pool 1
possible 1
precision 1
preserve 1
prevent 2
prior 1
properly 1
prosthetic 2
raeder 7
real 1
reduces 1
referred 1
religious 1
required 2
requires 1
res 1
rich 1
rising 2
sabotage 3
sector 1
sensory 1
settled 1
several 1
ship 2
shortly 1
sleeper 2
smaller 1
sources 1
space 2
species 1
speed 1
staff 1
stockpile 1
subplot 1
success 1
successfully 2
such 2
superiority 1
technology 1
that 6
the 29
their 1
there 1
though 1
to 10
toward 1
travel 1
two 2
type 1
unable 1
use 1
which 1
will 1
with 2
work 1
worthless 1
would 1
