7911113
/m/026jql_
/m/026jql_
Meg Cabot
2001-07
{"/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 4
able 1
about 1
accident 1
accidentally 1
after 5
again 1
aka 1
all 2
almost 1
along 1
ambulance 1
and 20
angels 11
anybody 1
anything 1
anywhere 1
are 3
arrest 1
as 1
asked 1
at 7
attention 2
back 1
bars 1
beach 1
beat 1
because 3
behind 1
best 1
brad 1
brilliant 1
but 5
by 1
california 1
call 1
called 1
calls 1
calm 1
came 2
can 1
carmel 1
catches 1
caught 1
cheek 1
classes 1
coma 2
coming 1
confessed 1
confesses 1
couldnt 1
covering 1
day 1
dead 1
decide 1
dematerialize 1
denying 1
did 3
discovers 1
do 1
doesnt 1
dominic 2
dopey 2
down 1
drinking 1
drinks 1
drowning 1
egotistic 1
else 1
ends 1
everyone 1
except 1
explained 1
expose 1
family 1
father 2
feelings 1
felt 1
fighting 1
finding 1
finds 2
for 3
forbids 1
formal 1
four 1
friend 1
from 2
furious 2
further 1
get 3
gets 1
ghosts 1
gina 4
go 4
going 2
grazes 1
had 2
hanging 1
happened 1
have 1
he 5
her 10
him 4
his 2
home 1
hospital 2
house 1
hurt 1
hurting 1
in 6
inspection 1
investigate 1
is 9
it 4
jake 1
jesse 7
kill 3
killed 1
known 1
leaders 1
learns 1
listen 1
looking 1
love 1
loves 1
made 2
market 1
meducci 1
michael 10
michaels 1
mistake 1
more 1
mother 1
much 1
murder 1
near 1
new 1
not 1
notices 1
of 3
off 1
okay 1
on 2
one 3
or 1
otherwise 1
out 3
over 1
party 1
people 1
pick 1
police 1
pretty 1
problem 1
purpose 1
pursue 1
querida 1
rammed 1
realizes 1
relationship 1
revenge 1
rls 3
sad 1
saying 1
scene 1
see 1
she 7
sheepish 1
sister 2
sleepy 2
so 4
something 2
spot 1
start 1
starts 1
stepbrothers 1
stop 1
stops 1
story 1
suddenly 1
summons 1
surrenders 1
suze 25
suzes 1
tags 1
taken 1
talk 1
that 8
the 25
them 3
there 1
they 5
thinks 1
though 1
to 20
too 1
tricks 1
tries 3
truth 1
trying 1
up 4
upon 1
usually 1
visit 1
visited 1
warm 1
was 3
watching 1
wear 1
were 3
what 3
when 2
where 1
which 1
while 1
who 2
will 1
winning 1
with 3
woke 1
york 1
