889073
/m/03m151
/m/03m151
Jeffrey Eugenides
2002-10-07
122 1
124 1
14 1
146 1
167 2
177nbspfilm 1
20th 1
5alphareductase 1
a 33
about 2
above 1
accepted 1
accounts 3
after 7
also 2
although 1
amid 1
among 1
an 1
and 23
are 3
arrested 1
arriving 1
as 8
asia 1
associating 1
assumes 1
assuming 1
at 2
away 1
balkan 1
bankruptcy 2
bar 1
be 2
becomes 1
berlin 1
best 1
between 2
biologically 1
birth 4
bithynios 1
board 2
book 2
bootlegging 1
born 3
boulevard 1
boy 2
brother 3
brought 1
burlesque 1
bursa 1
business 1
but 1
buuel 1
by 7
cal 11
callie 9
calling 1
calliope 2
causes 1
century 1
chance 1
chaos 1
chapter 1
chapternbspeleven 1
chapternbspelevenbecause 1
characteristics 1
child 1
children 3
church 1
city 1
clinic 1
closeted 1
cocoons 1
company 1
conception 1
condition 3
confesses 1
continues 1
cousin 1
cousins 1
cover 1
crosscountry 1
custody 1
custom 1
daughter 2
death 1
declines 1
deficiency 1
describes 1
desdemona 6
desire 1
detroit 3
develop 1
diplomat 1
directed 1
discovers 1
discovery 1
disease 1
doctor 1
doorway 1
drives 1
during 1
each 1
elements 1
eleutherios 1
eleven 1
encounters 1
ending 1
eugenides 2
events 1
examinations 1
experiences 1
facing 1
falls 1
family 8
father 4
female 2
feminine 1
fire 1
first 1
fleeing 1
for 4
ford 1
francisco 1
friend 1
from 4
funeral 3
gambling 1
genetic 1
girl 2
gives 2
grandfather 1
grandparents 1
great 1
grecoturkish 1
greek 1
grosse 1
harvested 1
has 1
have 1
he 6
her 9
high 1
him 2
hindsight 1
his 15
historical 1
histories 1
history 2
hitchhikes 1
home 4
house 1
how 1
however 1
husband 2
identity 2
in 18
incest 2
incestuous 2
increased 1
injured 1
interjects 1
intersex 3
into 2
is 12
islam 1
it 2
its 1
japaneseamerican 1
jimmy 1
job 1
joins 2
julie 1
keep 1
kikuchi 1
know 1
known 1
later 3
law 1
learning 1
learns 2
lefty 7
lesbian 1
life 2
lina 4
lives 1
living 1
locate 1
love 1
luis 1
makes 1
male 1
maleonly 1
man 1
many 1
marriages 1
marry 2
masculine 1
meets 1
members 1
michigan 1
middlesex 3
milton 4
minor 1
moment 1
motor 1
mount 1
moves 1
narration 1
nation 1
new 3
normal 1
novel 1
object 3
objecta 1
obscure 4
of 21
old 2
olympos 1
on 6
ongoing 1
only 1
opens 1
opinion 1
or 1
orphans 1
other 2
parents 2
passengers 1
paternal 1
person 1
place 1
places 1
pointe 1
police 1
portion 1
predicts 1
prepare 1
prior 1
private 1
progresses 1
prospect 1
protagonist 1
quietly 1
raid 1
raise 1
reaches 1
reassignment 1
recessive 1
recognizes 1
recounts 1
reentering 1
reference 1
refers 2
relationship 4
released 1
retrenched 1
return 1
riot 2
role 1
romantic 1
room 2
runs 1
sail 1
san 1
scandal 1
selling 1
separate 1
series 1
set 1
sets 1
several 1
sex 1
sexual 1
she 5
ship 1
show 1
siblings 3
silkworm 1
sister 1
situation 1
slope 1
smyrna 1
so 1
son 1
sourmelina 1
specific 1
spirit 1
stands 1
start 1
starting 2
starts 2
states 1
stationed 1
stay 1
stephanides 1
stories 1
story 1
such 1
surgery 1
syndrome 1
taken 1
takes 2
teenage 1
tentatively 1
tessie 2
tests 1
that 4
the 48
their 6
theodora 1
there 2
these 1
they 5
throughout 1
to 15
tractor 1
traditions 1
two 1
unaware 1
undergoes 1
united 1
unknowingly 1
unknown 1
us 1
vessel 1
victims 1
village 4
villagers 1
war 3
wars 1
watergate 1
weaves 1
when 1
where 1
whom 1
with 11
woman 2
workplace 1
years 4
york 2
zebra 1
zizmo 1
zoe 1
