28072320
/m/0cmd88y
/m/0cmd88y


{"/m/0dwly": "Children's literature"}
1 1
2 1
3 1
4 1
5 1
a 2
according 1
all 2
always 1
and 1
as 2
be 1
beloved 1
bonded 1
bunch 2
by 3
cast 1
characters 1
chicago 1
children 1
colorful 1
cool 1
created 1
each 1
english 1
events 1
ever 1
everythings 1
five 1
for 4
game 1
give 1
in 3
inspired 1
is 2
logo 2
long 1
made 1
masannek 1
neighborhood 1
never 1
of 5
once 1
one 2
original 1
own 1
passion 1
place 1
plays 1
rules 1
small 1
soccer 4
stories 1
take 1
team 3
the 8
their 3
them 1
to 1
translation 1
unbreakable 1
up 2
wild 6
youre 1
