1914221
/m/065r94
/m/065r94
Rob Grant
2003
{"/m/06n90": "Science Fiction", "/m/02yq81": "Comic novel", "/m/014dfn": "Speculative fiction"}
a 7
able 1
activates 1
aeroplane 1
after 1
afterwards 1
against 1
agent 1
all 2
along 1
american 1
an 4
and 4
around 1
arrested 1
arrives 1
as 2
at 1
attacked 1
attempting 1
be 2
becoming 1
before 2
began 1
being 2
book 1
bunny 1
but 3
by 5
captain 2
chance 1
clue 1
clues 1
coaster 1
destroy 1
earning 1
elevator 1
ends 1
europe 2
eventually 1
ever 1
evidence 2
extremely 2
face 2
facets 1
false 1
fatally 1
finally 1
find 1
followed 1
follows 1
for 1
force 1
forgotten 1
from 1
get 1
girl 1
gives 1
global 1
go 1
had 1
hand 1
happens 1
harry 9
has 1
having 1
he 2
him 8
himself 2
hired 1
his 2
however 1
if 1
imminent 1
in 4
incompetent 1
instructs 1
investigation 1
irate 1
is 7
it 2
jail 1
killed 1
killer 1
klingferm 9
leads 1
led 1
left 2
linking 1
local 1
locker 1
male 1
manages 1
many 1
meet 2
meets 1
members 1
mentor 1
most 1
murder 1
murdered 1
murderer 1
new 1
nuclear 1
number 1
numerous 1
odds 1
of 6
old 1
on 1
only 1
organisation 1
out 3
piloting 1
placed 1
plants 1
police 2
politician 1
poor 1
potent 1
process 1
released 1
rescues 1
riding 1
roller 1
roof 1
sabotaged 2
senior 1
serious 1
shoot 1
shot 1
situation 1
society 1
soon 1
states 1
stop 1
story 2
subjected 1
such 1
suspicions 1
taken 1
tells 1
the 13
their 1
themselves 1
they 1
this 1
through 2
thug 1
to 13
tracked 1
traps 1
trying 1
turns 1
twinkle 1
undercover 1
united 1
up 1
variants 1
vienna 1
war 1
was 1
way 1
which 2
who 5
with 2
wolfie 1
zuccho 2
