5315277
/m/0df3cg
/m/0df3cg
Mike Tucker

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
400 1
a 2
ace 1
addicted 1
agenda 1
and 1
are 1
as 1
blinni 1
channel 1
company 1
dangerously 1
detecting 1
discover 1
do 1
doctor 2
entertainment 1
finds 1
gaar 1
has 2
he 1
in 1
investigates 1
land 1
little 1
more 1
mysterious 1
native 1
nothing 1
of 1
on 1
planet 1
population 1
powerful 1
programmes 1
signal 1
sinister 1
soon 1
subspace 1
television 1
than 1
that 3
the 8
they 1
time 1
to 2
vortex 1
with 1
zombies 1
