2737067
/m/07_zpq
/m/07_zpq
Greg Iles

a 6
after 1
and 4
back 1
background 1
beautiful 1
being 1
bigger 1
blackmailed 1
blacks 1
by 1
cage 2
caitlin 1
case 1
character 1
crime 1
criminal 1
daughter 1
died 1
entailing 1
expected 1
father 1
fiction 1
find 1
finds 2
forces 1
forgotten 1
genre 1
he 6
heart 1
hidden 1
high 1
himself 1
his 5
home 1
in 3
interest 1
investigative 1
involved 1
is 5
joins 1
journalist 1
justice 1
legal 1
long 1
love 1
main 1
masters 1
meets 1
middle 1
mississippi 1
much 1
murder 1
natchez 2
never 1
newspaper 1
novel 1
novelist 1
of 5
over 1
penn 2
police 1
prejudice 1
quest 1
racial 1
realises 1
school 1
soon 2
successful 1
tension 1
than 1
that 2
the 7
to 3
towards 1
town 1
travels 1
truth 1
turned 1
who 1
wife 1
with 4
within 1
young 1
