8320817
/m/026_bp3
/m/026_bp3
William Saroyan


a 7
after 1
an 1
and 6
are 2
as 2
at 1
but 1
characters 1
cook 1
crushed 1
crying 1
down 1
emily 3
ends 1
fall 1
find 1
first 1
for 1
francisco 1
gambler 1
girl 1
go 1
harlot 1
having 1
he 2
her 2
him 2
his 1
holeinthewall 1
in 4
is 3
it 1
jail 2
kill 1
looking 1
love 2
luck 1
major 1
make 1
man 1
married 1
meet 1
meets 1
men 1
of 1
on 1
pay 1
photofinish 4
plans 2
play 1
rape 1
refers 1
refused 1
result 1
san 1
saroyan 1
set 1
sex 1
sight 1
simply 1
small 1
texas 1
the 2
their 1
there 2
they 1
to 4
town 1
two 1
unhappy 1
up 1
when 3
whom 1
with 1
young 1
