23112275
/m/064njgw
/m/064njgw
Christian Burch
2006
{"/m/03mfnf": "Young adult literature"}
a 4
after 1
and 4
asks 1
at 2
awkward 1
be 1
boy 2
classmates 1
dalinger 1
end 1
family 1
for 1
from 1
gets 1
has 1
he 3
hires 1
his 4
homosexual 1
how 1
is 2
it 2
keats 3
kiss 1
late 1
learns 1
makes 1
male 1
manny 2
many 1
max 2
more 1
most 1
nanny 1
new 1
night 1
novel 1
of 2
often 2
or 1
out 1
outgoing 1
principal 1
questions 1
remarks 1
sarcastic 1
school 1
selfconfident 1
sent 1
share 1
shows 1
shy 1
small 1
teacher 1
the 6
time 1
to 3
troubles 1
turns 1
tv 1
uncle 2
watches 1
when 1
who 1
with 1
young 1
