4676329
/m/0cgs_h
/m/0cgs_h
Catherine Asaro
2004
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
a 3
adventures 1
after 1
alley 1
also 1
and 6
apparent 1
barely 1
behind 1
blur 1
both 1
captor 1
characters 2
charon 1
come 1
discover 1
discovering 1
distinction 1
escapes 1
eventually 2
exactly 1
existence 1
explore 1
fall 1
former 1
his 1
humanity 2
in 2
inevitably 1
intelligence 1
is 2
jailer 1
love 1
machine 2
manage 1
merge 1
mysterious 1
notion 1
of 5
on 1
out 1
process 1
realization 1
sam 1
series 2
set 1
ship 1
sunrise 1
surviving 1
technology 1
that 1
the 8
they 1
to 4
trust 1
truth 1
try 1
turner 3
unsure 1
whatwhere 1
who 1
whom 1
will 1
with 1
wreck 1
