2869620
/m/08801d
/m/08801d
Robert Greene

3000 1
48 1
a 11
absence 1
accomplishments 1
act 1
action 1
actions 1
against 1
aimed 1
air 1
all 2
always 2
an 1
and 11
anyone 1
appeal 1
appear 1
are 2
argument 1
art 1
as 3
asking 1
assume 1
at 2
attention 1
avoid 2
bait 1
barnum 1
be 2
behave 1
believe 1
best 1
boldness 1
book 1
build 1
but 3
cannot 1
cards 1
carl 1
catch 2
change 1
chapter 1
clausewitz 1
clean 1
come 1
commit 1
compelling 1
complete 1
conceal 1
concentrate 1
control 1
costs 1
court 1
courtier 1
create 3
credit 1
crush 1
cultivate 1
cultlike 1
dangerous 1
deal 1
dealing 1
deathground 1
defend 1
dependent 1
desperation 1
despise 1
disarm 2
discover 1
disdain 1
distillation 1
do 5
drawing 1
dumber 1
each 2
effect 1
effortless 1
elizabeth 1
end 1
enemies 1
enemy 1
enter 1
fantasies 1
fashion 1
figures 1
fish 1
following 1
for 4
forces 1
formlessness 1
fortresses 1
free 1
friend 1
friends 1
gain 1
generosity 1
get 2
go 1
gratitude 1
great 1
hands 1
have 1
hearts 1
help 1
henry 1
historical 1
history 1
honesty 1
honor 1
how 2
i 1
if 1
ignoring 1
in 4
increase 1
infection 1
infuriate 1
intended 1
intentions 1
into 2
is 4
isolation 1
it 1
its 1
keep 3
king 1
kissinger 1
know 1
law 3
laws 2
learn 3
less 1
like 5
lives 1
lunch 1
machiavelli 1
make 2
man3s 2
manipulators 1
mark 2
master 2
mercy 1
minds 1
mirror 1
much 2
necessary 2
need 2
never 6
niccol 1
not 4
observation 1
of 11
offend 1
on 4
once 1
one 1
options 1
or 1
other 1
others 5
outshine 1
own 1
past 1
people 4
people3s 2
perfect 2
person 1
plan 1
play 6
pose 1
power 5
preach 1
preserve 1
protect 1
pt 1
put 1
queen 1
recreate 1
reform 1
respect 1
revenge 1
reversal 1
royal 1
say 1
scatter 1
seem 1
selective 1
selfinterests 1
sense 1
sheep 1
shepherd 1
shoes 1
show 1
spectacles 1
spy 1
stepping 1
stir 1
stop 1
strategists 1
strategy 1
strike 1
sucker 2
sun 1
surrender 1
suspended 1
tactic 1
take 1
terror 1
than 2
the 27
their 1
them 1
themselves 1
things 1
think 1
those 1
through 2
thumbscrew 1
timing 1
to 21
too 2
totally 1
transform 1
transgression 1
treated 1
trust 1
tzu 1
unhappy 1
unlucky 1
unpredictability 1
up 1
urgency 1
use 5
victim 1
victory 1
von 1
waters 1
way 1
weakness 1
when 2
who 1
will 1
win 1
with 5
work 3
wrong 1
years 1
you 7
your 9
youre 1
yourself 2
