6961605
/m/0gyyb0
/m/0gyyb0
Truman Capote

{"/m/02xlf": "Fiction", "/m/0l67h": "Novella"}
143 1
144 1
181 1
a 3
according 1
after 2
age 1
american 1
an 1
and 4
apartment 1
are 1
as 1
autumn 2
away 1
becomes 1
both 1
brother 1
brownstone 1
but 1
by 2
caf 1
calls 1
capote 1
carefully 1
clubs 1
country 1
curious 1
east 1
end 1
ends 1
expensive 1
fascinated 1
fears 1
finds 1
fred 1
friends 1
from 1
geisha 1
girl 2
give 1
golightly 2
has 2
her 6
hers 1
herself 1
him 1
himself 1
holly 4
hopes 1
in 5
is 3
it 1
job 1
know 1
life 1
lifestyle 1
likes 1
lives 1
manhattan 1
marry 1
men 1
money 1
narrator 2
never 1
new 1
next 1
no 1
not 1
of 1
older 1
on 1
one 1
or 1
outspoken 1
over 1
people 1
personal 1
presents 1
prostitute 1
really 1
relationship 1
restaurants 1
reveals 1
selected 1
she 5
side 1
slowly 1
socializing 1
society 1
stun 1
such 1
take 1
tenants 1
that 1
the 5
their 1
them 1
thrown 1
tidbits 1
to 5
topics 1
turned 1
two 1
unnamed 1
until 1
upper 1
various 1
viewpoints 1
wealthy 1
what 1
who 3
will 1
with 3
year 1
york 1
